wer	acts	words	chars
SCHUTZMANN	2	10	73
MOLLWEIN	31	583	3860
SANITÄTSRAT	35	598	3621
MAJOR	22	100	640
GOLDBAUM	26	196	1116
LANDRAT	108	2811	16785
FALK	46	777	4529
NIEMEYER	252	5656	33192
PICCOLO	1	0	0
OLGA	21	156	875
PÖHLMANN	15	379	2069
KLAUSING	26	1181	7412
JADWIGA	65	1106	6415
FRITZ	40	858	5199
ZEDLITZ	80	1258	7035
SCHIMKE	14	115	628
LYDIA	60	1234	7245
FROMMELT	2	31	190
WACHE	3	99	518
CASSIUS	12	376	1994
SCHLADEBACH	9	713	3658
BÄCKERGESELLE	2	22	116
PATZKOWSKI	20	197	1168
HOPPE	55	768	4847
TAMASCHKE	3	10	59
