wer	acts	words	chars
DIE RITTER	3	11	69
BEATA	25	812	4310
BANDINI	50	2374	13572
RÖSCHEN	62	4538	24403
JUTTA	11	235	1360
AMALGUNDIS	13	390	2197
SONNENBERG	64	1341	7496
NARR	8	161	927
EIN SCHAUSPIELER	1	17	77
ZWEITER SCHAUSPIELER	1	26	140
DRITTER SCHAUSPIELER	1	10	47
VIERTER SCHAUSPIELER	1	0	0
EIN BÜRGER	1	4	29
RALPH	16	530	3010
VOLK	11	124	650
JUDITH	1	34	177
EINER AUS DEM VOLK	4	42	229
ESTHER	1	21	99
EIN ANDERER AUS DEM VOLK	1	7	37
DRITTER AUS DEM VOLK	1	12	72
SCHULTHEISS	6	300	1745
SCHELM VOM BERGE	11	346	1979
NOLLINGEN	44	1147	6508
ALESSANDRO	32	615	3481
GEHEIMSCHREIBER	2	54	303
GIULIO	2	58	333
DER KAISER	75	3012	16976
EIN RITTER	4	61	322
LEIBDIENER	4	77	435
THORWÄRTEL	4	304	1649
TRABANT	2	135	728
DANIEL	10	198	1064
EIN GRIECHE	2	43	212
SPRUCHSPRECHER	4	57	297
CONRAD VON STADE	5	95	549
