wer	acts	words	chars
MADAME FLOR	6	116	599
HOCHMANN	32	306	1766
CHRISTOPH	164	4676	25572
TORF	31	395	2241
ROBERT	266	5650	30988
SCHLENKHEIM	62	1692	9390
SANDEL	40	724	4269
HELFER	75	1506	7968
HENRIETTE	18	319	1734
JOHANN	4	8	42
GRUND	27	463	2668
AMTSPRAKTIKANT HAGER	8	159	974
ROHR	3	35	214
DIENER	1	3	17
TOSSMANN	52	1721	9496
MARTIN	29	755	3765
FRAU VON BRIGGE	25	608	3335
KAROLINE	10	141	772
ELEGIUS OBENAUS	30	806	4533
SCHNAPPER	10	221	1208
STÜRMER	4	82	436
DIE OFFIZIERE	1	2	9
GRÜNMANN	2	47	238
HALLER	3	33	163
DIE BAUERN	16	106	543
DER RICHTER	8	135	731
JACQUES	1	0	0
LEOPOLD	1	0	0
MATTHIAS	6	30	146
CHARLES	1	0	0
GLANZBERG	3	72	394
