wer	acts	words	chars
HOFPREDIGER	6	53	302
LEONCE	85	3440	19115
HOFMEISTER	2	9	59
VALERIO	60	2592	14808
PETER	26	784	4425
ERSTER KAMMERDIENER	2	21	110
ZWEITER KAMMERDIENER	1	19	106
DIENER	1	7	44
PRÄSIDENT	17	235	1288
DER GANZE STAATSRAT IM CHOR	1	12	63
ROSETTA	18	152	752
LENA	24	668	3522
GOUVERNANTE	16	209	1133
LANDRAT	3	50	315
SCHULMEISTER	6	232	1279
DIE BAUERN	3	3	13
ZEREMONIENMEISTER	10	139	813
ERSTER BEDIENTER	6	114	646
ZWEITER BEDIENTER	4	58	322
DRITTER BEDIENTER	3	12	67
VIERTER DIENER	3	10	56
