wer	acts	words	chars
DER ALTE PÄTUS	5	292	1643
LÄUFFER	87	1741	9567
MAJOR	58	3097	16610
GEHEIMER RAT	97	4216	23493
MAJORIN	28	946	5232
BEDIENTER	1	3	20
FRITZ	92	1960	10646
GUSTCHEN	41	995	5259
PASTOR	13	546	2980
PÄTUS	79	2149	11756
FRAU BLITZER	8	311	1671
BOLLWERK	13	654	3339
JUNGFER KNICKS	4	218	1157
FRAU HAMSTER	3	22	113
JUNGFER HAMSTER	1	20	113
HOFMEISTER	7	364	2052
HERR VON SEIFFENBLASE	6	405	2198
WENZESLAUS	53	4555	24624
MARTHE	9	394	2171
SCHÖPSEN	4	53	273
GRAF WERMUTH	19	385	2167
REHAAR	16	1343	7329
JUNGFER REHAAR	1	50	265
LISE	15	474	2473
