wer	acts	words	chars
ANDERE	1	6	27
GERICHTSPERSON	5	39	210
DON CÄSAR	41	1784	9608
RUSSWORM	2	172	916
PROKOP	29	417	2257
KLESEL	105	2312	12628
KÄMMERER	4	31	179
MATHIAS	68	1305	6834
WOLFGANG RUMPF	60	891	4956
RUDOLF	118	6789	36145
ERZHERZOG FERDINAND	120	2979	16163
ERZHERZOG LEOPOLD	44	579	3068
EIN HAUPTMANN	19	273	1460
FAHNENTRÄGER	4	306	1626
MEHRERE IM TRUPP	1	11	47
EIN SOLDAT	13	189	984
ZWEI KÜRASSIERE	2	7	36
KÜRASSIER	4	16	76
ZWEITER SOLDAT	7	163	881
MEHRERE	2	22	102
RINGS HERUM	1	10	45
GESCHREI	2	5	35
MAXIMILIAN	30	887	4818
OBERST RAMEE	21	440	2279
EIN DIENER	3	23	138
DRITTER SOLDAT	1	23	134
LUKREZIA	16	219	1105
DER MANN	1	8	45
HERZOG JULIUS	67	1493	7890
DER WORTFÜHRER	1	40	221
ABGEORDNETER	2	19	103
DIENER	6	106	579
DIE STÄNDE	1	10	45
GRAF THURN	16	736	3951
SCHLICK	7	66	343
VOLK	3	9	62
EIN BÜRGER	4	53	294
HINTER DER SZENE	1	4	16
ARBEITER	1	21	101
KÄMMERLING	3	50	271
SEYFRIED BREUNER	6	69	362
WALLENSTEIN	17	430	2391
EINIGE	1	3	16
