wer	acts	words	chars
DIE BÜRGERSLEUTE	4	15	94
OTTILIE	26	343	1986
PUFFMANN	225	3352	18893
VON GRÖNING	7	54	269
HERMINE	2	12	54
THOMAS	130	2059	10900
FRIEDRICH	7	48	233
FRANZ	15	188	939
HEINRICH	2	9	42
TUPPER	29	246	1375
ALTHOF	18	98	551
LOCKERFELD	25	417	2390
MASSENGOLD	55	636	3614
PACKENDORF	41	630	3645
SEEWALD	13	110	591
PETER	166	5651	31540
FRAU HUSSBERGERIN	35	367	1917
HANSI	64	537	2854
FRAU FLACHSIN	18	163	914
KÜBLER	44	479	2725
FRAU KÜBLERIN	18	111	598
FRAU SCHMALZERIN	14	115	621
SCHMALZER	13	81	449
FLACHS	11	74	425
KLOPF	18	205	1150
FRAU KLOPFIN	3	42	227
SUSI	4	66	369
SPRING	4	68	368
BIEGEL	3	46	241
LEICHT	3	46	241
KLARA	42	475	2487
KELLNER	4	29	178
NETTI	3	42	236
MEHRERE ANWESENDE	1	13	60
MEHRERE FRAUEN	2	5	30
EINIGE MÄNNER	1	7	26
RUMPF	10	153	931
WIRT	3	18	107
