wer	acts	words	chars
KNECHTE (III, 19)	2	6	29
SIEVERS	16	254	1528
WIRT	2	40	271
METZLER	33	677	4228
ERSTER REITER BAMBERG	1	13	75
ZWEITER REITER BAMBERG	2	14	94
ERSTER REITER BERLICHINGEN	5	37	180
ZWEITER REITER BERLICHINGEN	3	34	195
GÖTZ	295	7371	45232
GEORG	58	1203	7247
MARTIN	28	983	6071
KARL	35	321	1732
MARIA	66	939	5800
ELISABETH	67	1241	7563
REITER	9	280	1714
WEISLINGEN	139	2905	17826
BISCHOF	35	653	4144
OLEARIUS	26	561	3689
ABT	17	140	760
LIEBETRAUT	37	952	5872
EIN BEDIENTER	1	9	67
FRANZ	62	1194	7166
ADELHEID	107	1829	11328
SELBITZ	42	342	2049
FRÄULEIN	9	209	1240
BRAUTVATER	13	305	1878
BRÄUTIGAM	7	67	390
BAUER	2	12	75
ERSTER KAUFMANN	8	120	794
ZWEITER KAUFMANN	4	19	97
KAISER	9	250	1503
SICKINGEN	31	681	4130
HAUPTMANN	30	505	3077
ERSTER OFFIZIER	2	63	398
ZWEITER OFFIZIER	4	39	229
LERSE	45	801	4975
ERSTER KNECHT	36	348	1997
ZWEITER KNECHT	11	150	852
ERSTER RITTER	1	7	36
ZWEITER RITTER	8	166	972
GERICHTSDIENER	4	54	347
RATSHERR	5	96	585
ERSTER RAT	29	373	2362
SCHREIBER	2	30	196
WACHE	1	58	354
ALTER	2	13	87
WEIB	2	15	103
MUTTER	6	68	398
LINK	20	212	1248
MAX STUMPF	5	131	762
KOHL	11	121	763
WILD	4	49	314
LINZ	1	9	58
BOTE	2	51	369
UNBEKANNTER	2	59	324
ERSTER BAUER	1	8	59
ZWEITER BAUER	1	21	132
KNAB	2	11	71
ERSTE ZIGEUNERIN	2	26	164
ZWEITE ZIGEUNERIN	2	24	149
ERSTER ZIGEUNER	1	7	27
ZWEITER ZIGEUNER	1	3	22
DRITTER ZIGEUNER	1	6	28
WOLF	3	39	269
STICKS	1	12	75
SCHRICKS	1	8	53
ZIGEUNERIN	3	15	89
ÄLTESTER	9	180	1087
RUFER	3	38	220
KLÄGER	7	93	602
