wer	acts	words	chars
CORNELIA	4	723	4062
SOLISA	18	1348	7345
ALVARO	14	1012	5644
LAURA	4	201	1044
RICARDO	12	238	1302
OCTAVIO	11	272	1599
DER KÖNIG	17	669	3632
ALARCOS	47	3503	19063
CLARA	26	1333	7244
DAGOBERT	18	1371	7643
EINE WÄRTERIN	1	16	89
