wer	acts	words	chars
DIE BAUERN	6	86	464
FRAU ERMISCHER	83	1267	6908
MAARI	17	125	698
ERMISCHER	190	2387	14135
ULBRICH	90	1383	7736
SEIFERT	132	1636	9367
WEIGEL	150	2582	15074
NEUBERT	102	1694	9915
FRAU NEUBERT	29	690	3878
NEUMERKEL	73	1172	6729
FRÄNZEL	3	108	529
FRAU SCHÖNHERR	61	876	4728
HEINERLE	7	190	942
GERTRUD	11	169	878
LIESEL	2	102	496
MEISTER SCHÖNHERR	78	1146	6525
FRAU ULBRICH	27	305	1705
FRAU SEIFERT	147	2095	11357
DIE WALDARBEITER	5	59	292
DIE LEUTE	3	10	57
EIN BAUER	7	102	578
DIE SCHNITZLER	3	36	175
VIELE STIMMEN	2	25	124
