wer	acts	words	chars
RUFE (5)	2	8	32
LYKON	54	1594	8550
DER ZELTWÄCHTER	1	12	66
ARRATOS	173	4237	22488
DER HAUPTMANN	4	22	133
MAGO	62	1471	8041
PHILARETE	67	2109	11041
DIOKLES	68	1315	6961
MYRRHA	39	770	3969
DIE ERSCHEINUNG	5	98	550
MENESTO	17	432	2286
BIO	5	66	340
PHENIPPE	7	157	779
ARTEMIDOR	47	943	5058
TÜRHÜTER	10	59	318
ERSTER SPÄHER	14	149	737
ZWEITER SPÄHER	28	543	2903
DIE BETTLER	5	91	503
DER REISENDE	1	19	100
DEONAX	8	190	991
SOSTHENES	4	71	396
EINER (2.1)	1	2	15
EURYTIMOS	29	231	1233
EIN BETTLER	2	11	57
EINER (2.2)	2	12	76
EIN ANDERER (2.2)	2	9	50
RUFE (2.2)	1	5	27
DER BLINDE	187	5603	29639
MANDROS	7	95	464
GEMURMEL	1	6	27
GUBAL	4	28	148
DER KARTHAGISCHE DIENER	1	4	22
EINER AUS DEM VOLKE	4	35	178
EIN ANDERER AUS DEM VOLKE	2	25	129
EIN DRITTER AUS DEM VOLKE	1	4	16
DIE MENGE	4	20	112
HEGESIAS	8	324	1680
EIN WÄCHTER	5	28	187
DER ERSTE SKLAVE	1	6	30
DER ZWEITE SKLAVE	1	4	23
DER DRITTE SKLAVE	1	5	19
DER VIERTE SKLAVE	1	4	20
EIN SEHR ALTER SKLAVE	1	24	118
EIN ÄLTERER DIENER	3	36	201
ZWEI FLÖTENSPIELERINNEN	1	10	58
EINER (4.1)	2	7	41
KTESIAS	23	322	1755
LYSIMACHOS	6	44	239
HERMACHOS	6	182	985
DIE ERSTE DER MÄDCHEN	3	16	102
DIE ZWEITE DER MÄDCHEN	2	15	94
DIE DRITTE DER MÄDCHEN	2	22	135
DIE MÄDCHEN	1	9	56
EINER (4.2)	1	2	12
EIN ZWEITER (4.2)	1	3	20
EIN DRITTER (4.2)	1	2	14
PHAINO	8	80	446
STRUTION	10	66	338
RUFE (4)	10	41	197
