wer	acts	words	chars
KINDERSTIMME IM GARTEN	1	2	14
FRAU GENIA	305	5284	29197
DAS STUBENMÄDCHEN	7	32	154
FRAU WAHL	107	1706	9579
ERNA	153	1855	10187
OTTO VON AIGNER	60	942	5355
DOKTOR MAUER	167	2506	13920
FRIEDRICH HOFREITER	419	9635	54050
PAUL KREINDL	50	946	5364
STIMMEN VOM TENNISPLATZ	1	1	6
ADELE	26	432	2318
STANZIDES	10	217	1270
HERR NATTER	40	542	3178
WANZIDES	1	108	603
FRAU MEINHOLD	51	1283	7016
ROSENSTOCK	44	522	3042
ERSTER TOURIST	13	151	831
ZWEITER TOURIST	3	37	203
EIN EHEPAAR	1	7	36
HERR	2	10	54
DOKTOR MEYER	10	143	777
SERKNITZ	17	524	3034
DOKTOR VON AIGNER	67	1182	6632
DIE SPANIERIN	1	0	0
ALBERT RHON	55	940	5251
EINE SEHR SCHÖNE ENGLÄNDERIN	1	8	45
DER FÜHRER PENN	10	165	907
GUSTL WAHL	25	646	3777
FRAU RHON	9	77	411
EIN BOY	1	0	0
KINDER VON FRAU NATTER	1	2	6
