wer	acts	words	chars
GROSSINQUISITOR	27	691	3928
DOMINGO	90	2298	12344
CARLOS	333	10444	55514
MARQUIS VON POSA	240	8134	43612
KÖNIGIN	191	3974	21115
MONDEKAR	5	72	382
OLIVAREZ	14	229	1201
KÖNIG	224	5871	31146
HERZOG ALBA	132	2643	14421
LERMA	71	1057	5602
PAGE	22	371	1893
PRINZESSIN VON EBOLI	122	3714	19712
PRIOR	7	159	831
MEDINA SIDONIA	8	126	655
PARMA	8	61	332
FERIA	26	230	1260
EINER VON DEN GRANDEN	2	14	59
EIN ZWEITER VON DEN GRANDEN	1	3	18
EIN DRITTER VON DEN GRANDEN	1	9	54
FUENTES	1	16	94
INFANTIN	3	25	114
TAXIS	11	102	527
OFFIZIER	5	97	532
ALLE GRANDEN	4	14	66
MERKADO	6	246	1279
