wer	acts	words	chars
DIE POSTBEAMTEN	1	8	43
MICHAEL	6	141	821
PETRUS	18	504	2992
MORITZ	9	58	331
ERIKA	6	78	460
HANNEMANN	11	141	875
HENNEMANN	8	100	596
EIN BEAMTER	1	14	75
