wer	acts	words	chars
KERKERMEISTER	3	151	774
STIMMEN DER SOLDATEN	1	8	37
ERSTER DIENER	16	493	2636
DETLEV	26	937	4943
DRITTER DIENER	13	349	1927
VIERTER DIENER	5	69	360
ZWEITER DIENER	14	259	1281
GRAF STRUENSEE	174	7497	40705
KÖLLER	72	2194	11796
PAGE	3	15	78
DIENER	8	98	552
RANZAU	88	3367	18439
EIN KAMMERDIENER	3	11	66
PFARRER STRUENSEE	38	961	5105
MATHILDE	107	4120	22173
GRÄFIN UHLFELD	16	288	1523
GRÄFIN REEZ	3	31	169
GRAF BRANDT	16	331	1779
HAUPTMANN	11	588	3373
DAMEN DER KÖNIGIN	2	5	18
KEITH	18	913	4966
SCHACK	35	812	4341
JULIANE	67	2633	14032
GULDBERG	27	515	2781
KAMMERDIENER	2	50	246
HAUSHOFMEISTER	7	227	1182
EIN DIENER	2	7	45
FÜRST	4	138	796
MASKE	15	185	1000
EIN KAMMERHERR	2	15	74
MEHRERE MASKEN	1	17	78
OFFICIER	15	249	1375
ALLE OFFICIERE	1	3	15
SCHULMEISTER	32	1056	6058
SVENNE	15	256	1443
BABE	35	491	2601
FLYNS	13	185	963
HOOGE	12	162	913
ALLE BAUERN	9	29	160
DIE WIRTHIN	14	110	575
CONRAD	12	206	1185
ANDREAS	9	35	191
JOHANNES	15	149	864
EMMY	4	69	371
