wer	acts	words	chars
SOLDATEN	10	199	1029
OTTOKAR	30	486	2610
CZIPRA	51	1382	7054
CHOR DER SCHIFFER	1	31	169
BARINKAY	99	2076	10853
CHOR	29	576	3033
CARNERO	29	532	2894
SAFFI	60	1322	6722
ZSUPÁN	31	1274	6535
MIRABELLA	24	734	3859
ARSENA	41	1269	6108
CHOR DER MÄDCHEN	3	95	551
CHOR DER ZSUPÁN'SCHEN GRUPPE	5	163	904
BARINKAYS GRUPPE	2	88	488
DIE ZIGEUNER	15	619	3133
DER ALTE PALI	1	26	111
ALLGEMEINER CHOR	3	112	553
GRAF HOMONAY	22	583	2989
