wer	acts	words	chars
JOHANNES HABUNDUS	13	99	622
PRINZESSIN TRULL	14	903	5621
DIE ALTE RASCHKE	29	1027	6446
RAPUNZEL	54	1387	8408
CHRISTEL	5	69	440
DER ALTE RASCHKE	99	4906	29878
DIE JUNGE RASCHKE	30	818	4899
DER GENDARM	53	1221	7396
DER JUNGE RASCHKE	19	367	2403
DIE FRAU PASTORIN	1	4	25
DIE GRÄFIN	1	8	42
DER DORFPASTOR	1	4	30
DAS ARMSELIGE DORFGESINDEL	1	35	217
EINER AUS DEM GESINDEL	1	10	75
DER AMTSSEKRETÄR	71	886	5567
DER APOSTEL PETRUS	1	8	48
DIE VIER BEAMTEN	1	11	89
DER WIRT	17	630	3675
DIE WIRTIN	8	115	683
DER FREMDE	22	1168	7055
DER EINE DIENER	1	25	133
EIN BAUER	5	40	229
EINER DER BAUERN	2	9	46
EIN BAUERNBURSCHE	1	6	32
EIN ANDERER BURSCHE	1	7	39
EIN MÄDCHEN	2	13	67
EIN ANDERES MÄDCHEN	1	7	36
EIN BAUERNMÄDCHEN	1	14	75
DIE LEUTE	1	4	40
DER POLIZIST	31	640	3903
DER DIENER	2	24	157
EINE STIMME	6	24	168
