wer	acts	words	chars
SOUFFLEUR	3	31	170
FISCHER	58	690	3724
MÜLLER	47	618	3458
SCHLOSSER	48	981	5391
LEUTNER	38	507	2783
VIELE STIMMEN	7	52	278
BÖTTICHER	32	1474	8534
WIESENER	21	244	1311
LAMPENPUTZER	7	75	437
DICHTER	40	865	4711
NACHBAR	15	160	849
STIMME VON DER GALERIE	6	32	180
LORENZ	8	201	1047
BARTHEL	1	26	149
GOTTLIEB	61	981	5248
HINZE DER KATER	104	2825	15481
DIE KUNSTRICHTER	1	8	38
SCHUHMACHER	8	72	347
KÖNIG	87	3358	18495
PRINZESSIN	28	451	2610
LEANDER	36	864	5083
KAMMERDIENER	3	124	713
NATHANAEL	11	201	1086
WIRT	20	703	3781
KUNZ	8	185	951
MICHEL	2	19	111
SOLDAT	6	41	240
ERSTER HUSAR	3	39	211
ZWEITER HUSAR	2	41	198
ER	14	252	1389
SIE	13	145	799
KOCH	2	73	423
HISTORIOGRAPH	2	4	15
EIN BEDIENTER	4	57	300
HANSWURST	36	962	5321
EIN HOFMANN	2	12	66
IM PARTERRE	2	13	76
DIE VIERFÜSSIGEN	2	12	64
DIE VÖGEL	2	13	61
VEREINIGTES CHOR	2	16	79
DER BESÄNFTIGER	5	121	619
BAUER	3	37	207
POPANZ	14	166	924
AMTMANN	5	91	489
HINTER DEM VORHANGE	2	30	176
