wer	acts	words	chars
DER GRAF	8	189	1055
JUST	126	2387	12640
DER WIRT	108	2918	15299
VON TELLHEIM	264	6116	33272
DIE DAME	12	322	1794
DER BEDIENTE	8	147	797
WERNER	121	3041	16487
DAS FRÄULEIN	251	6353	34556
FRANZISKA	197	3428	18145
RICCAUT	33	1181	6147
DER FELDJÄGER	4	82	472
DER EINE BEDIENTE	1	9	46
DER ANDERE BEDIENTE	1	8	30
