wer	acts	words	chars
EREMIT	25	769	4237
DAS VOLK	1	5	33
MAX	106	1640	8851
CHOR DER LANDLEUTE	10	177	968
KILIAN	12	292	1523
MÄDCHEN	1	1	21
KUNO	32	869	4843
KASPAR	90	2267	12779
EINIGE JÄGER	11	265	1397
ANDERE JÄGER	11	257	1348
DIE WEIBER	3	33	186
DIE MÄNNER	3	46	241
CHOR	6	81	437
DIE JÄGER	13	324	1712
ÄNNCHEN	47	1601	8850
AGATHE	74	1326	7050
STIMMEN UNSICHTBARER GEISTER	1	44	240
SAMIEL	10	40	193
DAS ECHO	6	8	37
ERSTER JÄGER	16	299	1622
ZWEITER JÄGER	15	340	1802
DRITTER JÄGER	11	271	1437
EINE BRAUTJUNGFER	9	152	925
OTTOKAR	18	482	2582
CHOR DER HOFLEUTE	7	127	673
EINIGE	2	16	77
