wer	acts	words	chars
EINE STIMME	3	86	464
CHARON	9	502	2815
PLUTO	16	408	2245
MEPHISTOPHELES	68	2048	10989
FAUST	118	3658	19328
WAGNER	38	827	4293
HANSWURST	77	2983	15686
DIE TEUFEL	11	23	127
KRUMSCHAL	15	231	1308
BULLA	5	153	825
FAUSTENS VATER	10	207	1128
EIN TEUFEL	11	36	195
DIE KÖNIGIN	15	657	3332
DER KÖNIG	26	551	2911
ORESTES	13	288	1509
SCHERGE	5	42	245
EIN ZWEITER SCHERGE	2	4	23
ZWEI TEUFEL	2	2	13
KRUSTL	1	6	32
DIE STUDENTEN	1	110	462
MUTTER	1	97	479
EINE MÄCHTIGE STIMME	1	5	33
VIELE STIMMEN	1	5	32
PFARRER	4	53	260
