wer	acts	words	chars
VOCES APOKALYPTICAE DE COELIS CANTANTES	1	12	70
PROFESSOR REMIGIUS WOHLGEMUT	131	1592	8936
HUBERT	253	4211	23393
ROSL	114	969	4947
MUTTER	91	1072	5685
RABANSER	130	3996	22986
BABÚSCH	16	376	2135
DOKTOR FALLMER	186	5158	29330
DIENSTMÄDCHEN	18	125	622
POGATSCHNIGG	35	496	2722
TAUBE	15	116	661
MAGENTROST	16	289	1806
STIMME VON DRAUSSEN	2	2	15
RABANSER CHORAGETES	2	285	1659
CHORUS PUERORUM	2	216	1152
PATER CONFESSOR	1	44	239
CHORUS ADOLESCENTIUM	2	210	1156
VOX PATRIS E TENEBRIS INFIMIS	1	5	33
