wer	acts	words	chars
HOFDAMEN	3	0	0
DIE TROMMLER	3	0	0
FRÄULEIN VON SONNSFELD	83	1568	9008
EVERSMANN	82	996	5547
WILHELMINE	128	2176	12086
ERBPRINZ	212	4155	24078
KÖNIGIN	65	1582	9260
KÖNIG	238	5149	29961
GRUMBKOW	41	314	1823
SECKENDORF	39	814	4742
LAKAI	4	20	102
HOTHAM	126	3130	18414
KAMKE	8	78	459
ECKHOF	29	528	3259
ERSTER GRENADIER	1	0	0
ZWEITER GRENADIER	1	0	0
DRITTER GRENADIER	1	0	0
BEDIENTE	1	0	0
GRAF SCHWERIN	6	23	121
GRAF WARTENSLEBEN	6	40	207
LAKAIEN	1	0	0
VIERECK	14	183	1039
HOLZENDORF	10	89	465
