wer	acts	words	chars
BURSCHE	3	47	245
MISS ELLEN	56	2339	13209
STEELE	59	3786	22360
SAVAGE	100	5796	32625
VISCOUNT	25	875	4981
LORD WINCHESTER	28	409	2333
LADY	81	2859	16147
LORD BERWICK	30	408	2253
BEDIENTER	16	277	1440
LORD TYRCONNEL	49	2411	14205
MÄNNLICHE STIMME IM SCHAUSPIEL	2	13	78
HAUSHOFMEISTER	5	134	786
OBERRICHTER	4	187	1140
ERSTER BEDIENTER	2	12	69
ZWEITER BEDIENTER	2	11	61
ERSTE MASKE	1	5	29
ZWEITE MASKE	1	3	10
DRITTE MASKE	1	12	67
VIERTE MASKE	1	2	6
FÜNFTE MASKE	1	2	6
SECHSTE MASKE	1	2	5
ACHTE MASKE	1	1	22
NEUNTE MASKE	1	2	10
ZEHNTE MASKE	1	2	6
TOMS	16	565	3002
KITTY	18	495	2678
