wer	acts	words	chars
VIELE STIMMEN	1	13	69
THEOBALD	63	1341	6937
AGNES	177	3929	20611
KNIPPELDOLLINGER	24	406	2244
BARBARA	23	508	2622
CASPAR BERNAUER	70	1682	9210
ALBRECHT	188	5435	29084
BÜRGERMEISTER	11	337	1983
NOTHHAFFT VON WERNBERG	37	636	3516
FRAUENHOVEN	33	591	3223
TÖRRING	53	1390	7561
MARTHA	1	24	121
ERNST	104	4912	27055
STACHUS	11	261	1426
PREISING	102	2677	14801
KASTELLAN	6	213	1244
MARSCHALL	7	61	361
PIENZENAU	2	8	38
HANS VON LÄUBELFING	1	19	112
DER KASTELLAN	3	62	324
PAPPENHEIM	17	165	855
DIE KNECHTE	1	0	0
DIE REISIGEN	1	3	12
EMERAN NUSPERGER ZU KALMPERG	3	0	0
EIN HÄSCHER	1	0	0
IGNAZ VON SEYBOLTSTORFF	2	5	30
OTTO VON BERN	1	0	0
EINIGE	2	13	66
ANDERE	3	12	80
ROLF VON FRAUENHOVEN	1	30	158
STIMMEN	2	13	76
ANDERE STIMMEN	1	2	11
DER HEROLD	6	272	1654
NOTHHAFFT	3	15	84
