wer	acts	words	chars
Judas Gefolge	1	5	26
JOARIM	14	255	1312
LEA	186	5193	26931
BENJAMIN	14	134	689
ELEAZAR	67	1447	7409
JUDA	99	3350	17651
SIMEI	28	309	1620
MATTATHIAS	43	1125	5929
BOAS	17	488	2535
AMRI	43	669	3551
JOJAKIM	42	797	4260
NAEMI	32	425	2164
JONATHAN	19	306	1660
AARON	13	122	641
GORGIAS	31	778	4293
NIKANOR	26	466	2563
SIMON	31	500	2653
JOHANNES	9	97	500
VOLK	22	132	708
USIEL	6	61	327
ÄMILIUS	3	195	1079
NATHAN	9	137	765
DIE HAUPTLEUTE	1	6	31
ANTIOCHUS	43	815	4323
JOSUA	4	18	85
ELIA	3	10	56
MISAEL	5	19	108
RUBEN	4	17	92
ISSASCHAR	8	162	882
VOLKSHAUFE	7	63	331
Dritter Volkshaufe	18	133	720
DIE JUNGFRAUEN	1	2	11
DAS WEIB	7	106	547
GREIS	2	5	21
GESCHREI IM LAGER	1	4	27
