wer	acts	words	chars
ANDERE	1	10	55
EIN HALBWÜCHSIGER JUNGE	3	262	1647
TIEFSEE	29	1662	10482
DER JUNGE PAN	3	50	299
ASTARTE	35	1546	9697
LUNICA	20	523	3297
SCHWÄNCHEN	10	163	1045
HELIE	3	25	148
KITZ	1	8	44
LACERTA	5	274	1758
LUCINDE	3	52	323
MUSE	5	42	256
MÜCKE	4	32	196
ELFI	16	239	1482
SCHWALBE	1	7	53
ANJELKA	3	20	135
LIDDI	10	207	1264
BARON ATTENDORN	10	386	2421
DER KÜCHENCHEF	1	41	309
DIENER JOSÉ	27	798	4846
LIONEL MANDER	96	3546	22569
HENRY	14	211	1476
DR. MICHAEL MANDER	27	1169	7481
LISISKA	11	343	2091
KONZERTMEISTER WINDFELLNER	17	869	5508
EINER DER MUSIKER	1	5	43
ALLE TÄNZERINNEN	6	165	1014
FRÄULEIN KOPRIVA	28	828	5125
MATER SCHOLASTICA	17	619	4038
DER HERR JUWELIER	23	1006	6246
EINER DER DIENER	1	7	44
DIE MÄDCHEN	1	4	29
ALLE HERREN	1	5	34
