wer	acts	words	chars
ZWEITER ANFÜHRER	5	87	482
VON DER STRASSE HERAUF	1	3	25
BANCBANUS	147	4639	23860
ERSTER DIENER	17	131	656
GESANG	2	30	154
VIELE STIMMEN	2	6	48
ZWEITER DIENER	5	28	143
DIENERIN	3	14	69
ERNY	77	1199	6112
GESCHREI	1	3	24
KAMMERFRAU	7	82	416
ERSTER BEGLEITER	8	44	254
OTTO	120	3605	18911
ZWEITER BEGLEITER	3	7	35
DIENER	6	91	480
HAUPTMANN	16	258	1343
GERTRUDE	23	896	4645
KÖNIG	56	1749	9301
KÄMMERER	5	16	93
ALLE	0	0	0
KÖNIGIN	116	2504	13159
BELA	1	2	15
EDELMANN	2	62	291
PETER	38	324	1621
SIMON	61	1356	7095
ARZT	13	174	959
SCHLOSSHAUPTMANN	2	29	156
EIN GEWAFFNETER	1	7	31
ERSTER EDELMANN	5	20	102
ZWEITER EDELMANN	1	10	43
UNGARISCHER ANFÜHRER	1	38	214
SOLDAT	3	15	76
BEFEHLSHABER	10	149	833
