wer	acts	words	chars
JUSTIZSOLDAT	2	21	127
KANZLIST	10	47	269
UNTERSUCHUNGSRICHTER	169	4544	27281
DER STAATSANWALT	17	248	1443
DOKTOR ZWIRN	25	422	2306
ZEUGIN MARIE DWORSCHAK	56	594	3313
ZEUGE LEOPOLD KRITZENBERGER	30	469	2517
ANTON GSCHMEIDLER	43	1368	7254
