wer	acts	words	chars
SPEISEMEISTER	1	9	57
LUZIFER	14	842	5328
SATAN	63	2763	18459
PLACIDUS	43	1620	10241
CANDIDA	26	862	5453
KIRCHENGESANG	1	14	86
MERLIN	123	5204	33654
KAY	14	958	6717
KLINGSOR	30	1532	9803
ZWERG	12	782	5094
ANTINOUS	1	64	420
DIE GÖTTER	1	64	420
HAMADRYADEN	1	100	739
KÖNIG ARTUS	58	1816	11946
MINSTREL	14	711	4617
DER SENESCHAL	1	39	277
GAWEIN	14	333	2069
GAREIS	9	190	1169
EREK	20	379	2369
DIE RITTER DER TAFELRUNDE	9	32	180
GINEVRA	25	489	3107
LANZELOT	25	750	4691
NINIANA	52	1084	6465
PARZIFAL	12	268	1895
LOHENGRIN	15	534	3643
TITUREL	1	179	1250
EIN RITTER	2	13	65
