wer	acts	words	chars
ALLGEMEINER RUF	1	9	44
JARL	53	2081	11147
ERICHSON	81	2231	11809
DER TRABANT 1.1	2	26	152
DER TRABANT 5.10	4	49	260
IRMA	110	3139	16626
ASLA	68	2053	10865
NÖS	18	352	1875
EGRÖSUND	8	111	571
OURDAL	31	664	3492
BIÖRNELAND	11	219	1132
YNGURD	146	5317	27987
DROLL	19	322	1679
KNAUT	15	330	1669
RITTER	22	309	1642
ALF	71	1421	7632
GYLDENBROG	15	195	1074
EINE STIMME	2	9	35
EINE ANDERE STIMME	1	3	19
DER OSTLÄNDER	8	186	948
DER KNAPP	4	119	568
STIMMEN	2	18	76
ANDERE STIMMEN	1	2	15
NOCH ANDERE STIMMEN	1	4	19
OSKAR	70	3448	18471
BRUNHILDE	32	1582	8189
DER KRIEGER	5	57	304
EINER AUS DEM GEFOLGE	2	2	12
EIN KNAPPE	1	10	56
FLÜCHTLINGE	6	43	236
BIÖRNELANDS HEERHAUFE	1	4	22
KURL	16	185	948
MARDUFF	51	1438	7403
EIN KNAPP	1	8	38
DAS VOLK	1	1	7
