wer	acts	words	chars
DIE MASKEN	4	99	542
DER RANGÄLTESTE HAUPTMANN	4	96	594
VON MARSCHALL	53	989	5900
VON GROBITZSCH	58	1299	7428
VERSCHIEDENE	2	2	10
MORITZ DIESTERBEG	89	1182	6726
DIE FÄHNRICHE UND FAHNENJUNKER	3	20	132
PETER VON RAMBERG	119	1308	7556
FRITZ VON DER LEYEN	16	258	1423
EINE ORDONNANZ	20	62	390
TIEDEMANN	3	16	87
PAUL VON RAMBERG	81	816	4538
GLAHN	23	171	1022
BENNO VON KLEWITZ	38	349	2092
MEITZEN	14	96	634
HANS RUDORFF	415	8614	47581
HAROLD	136	2533	14183
DIE ORDONNANZ	2	2	14
KOMMANDOSTIMME	1	2	14
HEINRICH	72	370	2123
JOSEPH WACHOWIOCK	12	83	448
HORNIST	2	0	0
SCHMITZ	52	1313	7286
TRAUTE	112	2501	13316
