wer	acts	words	chars
ALLE SPIELER	7	17	111
HALLER	35	1074	5904
WINTER	141	3503	19333
EMILIE	18	301	1647
FLEDERMAUS	145	3957	22067
STADTDIRECTOR	8	143	849
JOSEPH	9	104	598
ROSEL	85	1895	10284
VIKTORL	29	390	2069
WIRTH	41	1440	7916
ZACHARIAS	61	1292	7090
HAUSHERR	6	104	621
ERSTER GERICHTSDIENER	3	76	477
ZWEYTER GERICHTSDIENER	3	85	504
DIE GERICHTSDIENER	2	45	295
DIENSTLEUTE	1	3	38
JÄGER	2	6	36
SOPHIE	39	780	4250
ALLGEMEINER CHOR	3	57	319
CHOR 2.28	1	32	167
ERSTER SPIELER	24	423	2348
TREUHOLD	2	46	281
DIE MÄDCHEN	1	6	35
ZWEYTER SPIELER	8	30	205
