wer	acts	words	chars
DER STROLCH	41	1525	9792
EINE STIMME	2	2	18
ANDERE STIMME	4	6	76
EINE DUNKLE STIMME	4	20	136
ANDERE STIMMEN	12	56	362
DIE HELLEREN STIMMEN	4	8	108
EINE SCHAR JÜNGLINGSKÖPFE	2	12	50
ANDERE JÜNGLINGSKÖPFE	4	30	140
DER DOMORGANIST	75	3173	21003
EINE SCHAR KINDERKÖPFE	2	14	80
DUNKLE STIMMEN	2	8	56
EINE ANDERE SCHAR KINDERKÖPFE	2	10	82
VERHALLENDE STIMMEN	2	12	74
EINE KINDERSTIMME	2	16	92
DIE MUTTER	44	1127	6877
GEORGINEL	51	1431	8812
DER EINE	3	18	141
EIN ANDERER STUDENT	2	13	110
DIE EINE	1	15	98
EINE KRUMME ALTE	1	10	51
EIN ALTER SCHUSTERMEISTER	1	26	167
DER SCHMIEDEMEISTER	1	28	204
DER SEMINARIST	8	304	1870
DIE ZIGEUNERIN	25	663	4258
