wer	acts	words	chars
HOFGESELLSCHAFT	6	69	345
DIENERINNEN	2	69	367
NANCY	147	1483	7639
LADY	184	1884	9901
ERSTER DIENER	1	4	27
ZWEITER DIENER	1	4	24
DRITTER DIENER	1	5	30
SIR TRISTAN	64	453	2485
MÄGDE	15	385	1887
LANDLEUTE	16	288	1507
PÄCHTER	13	167	795
PLUMKETT	126	1616	8243
LYONEL	119	1736	8999
VOLK	7	73	408
RICHTER	12	176	946
ERSTE MAGD	1	27	116
EIN PÄCHTER	1	5	31
ZWEITE MAGD	1	21	122
EINE PÄCHTERIN	3	31	155
DRITTE MAGD	1	25	131
VIER MÄGDE	1	22	121
PÄCHTER UND PÄCHTERINNEN	2	27	123
DIE KNECHTE	4	23	119
DAS GESINDE	1	20	119
JÄGERINNEN	4	138	730
