wer	acts	words	chars
EINER VON DER WACHE	14	83	481
BELMONTE	90	1210	6391
OSMIN	101	1728	9047
PEDRILLO	104	2585	14113
CHOR	3	70	401
EINE ODER ZWO STIMMEN	3	58	346
SELIM	30	495	2736
KONSTANZE	48	836	4465
BLONDE	47	1006	5619
KLAAS	3	56	263
WACHE	26	210	1298
