wer	acts	words	chars
STIMME DES KNABEN SCHWERTTRÄGERS	1	12	61
STIMME	1	10	42
ERMOS	2	19	98
ELATOS	1	9	52
PHÖNIX	97	1767	8870
ÖDIPUS	205	6656	34021
STIMMEN	5	151	746
DER HEROLD DES LAÏOS	8	112	531
DER WAGENLENKER	2	20	108
LAÏOS	15	270	1409
DER HEROLD	1	5	27
DIE DIENER	3	26	121
EIN DIENER	4	40	168
EIN DIENER (2)	5	87	446
KNABE	39	1000	5025
WÄRTER	10	196	952
TÜRHÜTER	10	52	249
KREON	119	3274	16795
MAGIER	20	432	2342
ZWERG	2	56	283
ERSTER BOTE	7	211	1111
ZWEITER BOTE	4	114	591
DRITTER BOTE	2	75	397
VIERTER BOTE	5	24	124
FÜNFTER BOTE	4	28	156
SECHSTER BOTE	1	1	6
JOKASTE	108	2869	14169
ANTIOPE	86	1820	9083
DAS VOLK	73	1037	5113
DIE FRAUEN	3	18	82
DIE GREISE	1	9	50
TEIRESIAS	20	448	2297
DAS KIND	2	85	418
FRAUEN	2	43	221
EIN MANN	1	29	131
DIE MÄGDE	2	36	164
DER STERBENDE	3	125	678
