wer	acts	words	chars
BÜRGERMEISTER	13	566	3040
HERR VON BIEDERLING	130	4591	24482
FRAU VON BIEDERLING	68	1302	6945
PRINZ	114	2793	15522
GRAF	78	1544	8342
VERWALTER	5	116	611
DONNA DIANA	53	1754	9369
ZIERAU	55	1640	9362
WILHELMINE	69	976	5110
BABET	37	639	3552
MAGISTER BEZA	28	514	2966
HERR VON ZOPF	19	489	2724
GUSTAV	8	243	1230
KAFFEEWIRT	4	271	1474
EIN BUCKLIGTER	1	5	35
LAHMER	10	283	1476
BLINDER	2	20	108
EIN ANDERER BLINDER	1	22	102
ALLE	1	10	54
EINE DAME	2	12	59
EIN CHAPEAU	1	5	25
EIN DICKER KERL	1	4	22
EINE MASKE	1	9	43
EINE ANDERE MASKE	1	5	26
