wer	acts	words	chars
DIE DEUTSCHEN	4	16	83
HAMATELLIWA	51	1004	5287
ABDALLAH	73	839	4458
BERNHARD	208	3849	20158
LOTHAR	105	1480	7814
HUGO	39	384	2006
LUDWIG	111	1320	6830
MATFRIED	46	528	2748
ELISACHAR	14	167	883
KARL	112	1731	8683
JUDITH	102	1663	8515
EBO	9	55	297
AGOBARD	8	46	243
WALA	53	1104	5961
ERSTER DIENER	12	164	874
ZWEITER DIENER	5	23	121
DRITTER DIENER	5	38	208
FRECHULF	7	63	337
SATILATLAS	34	446	2354
TEMIN	16	125	677
RUDTHARDT	45	405	2141
OTTGAR	18	113	565
HUMFRIED	2	7	36
CHORKNABEN	5	36	188
DIE FRANKEN	5	16	79
KAISER LUDWIG	19	254	1253
