wer	acts	words	chars
DON PRADO	23	798	4533
STREPHON	111	4565	24947
ARIST	46	856	4632
DORANTINO	9	432	2427
STROMBOLO	17	344	1771
DORIA	18	457	2644
MEZZOTINTO	27	1066	5913
SERAPHINE	44	1721	9550
ALVAREZ	12	353	1961
NINON	13	433	2295
MALER	2	78	445
VILLIERS	12	496	2810
RIPARO	5	115	695
GRAMMONT	5	189	1093
LA FARE	1	38	212
DIE MARQUISIN CHATEAUNEUF	1	25	156
BEDIENTER	2	50	280
