wer	acts	words	chars
BÖSE GEISTER	2	12	64
GEISTERSTIMMEN	5	117	696
FAUST	124	3088	16809
GUTTENBERG	38	497	2908
GEISTERSTIMME	1	2	11
FURIEN	3	18	113
WANDRER	4	38	210
WEIBLICHE STIMME	3	24	118
PLUTUS	1	74	407
AMOR	2	88	483
RUHM	1	54	294
MÖNCH	12	149	800
EINER DER MÄNNER	6	47	222
MÄNNER	7	50	229
FAUSTS VATER	8	113	570
LEVIATHAN	55	1249	6990
SERAPHINA	35	689	3660
ERSTER KÜNSTLER	17	233	1268
ZWEITER KÜNSTLER	14	139	751
DRITTER KÜNSTLER	4	52	287
ERSTER GELEHRTER	13	175	999
ZWEITER GELEHRTER	13	186	1072
DRITTER GELEHRTER	6	91	587
CHOR	5	124	666
ANDRER BÜRGER	1	34	191
ERSTER BÜRGER	2	38	219
DOKTOR ROBERTUS	56	1021	5535
KERKERMEISTER	3	21	104
VOLK	16	123	731
SOLDATEN	3	18	115
DIE PRIESTER	1	20	102
RICHTER	1	6	33
MACHIAVELLI	5	85	476
EINIGE STIMMEN	1	4	23
EINZELNE STIMMEN	1	9	47
BRUTUS GEIST	1	35	183
AURELIA	49	705	3845
ILDEPHONSE	6	79	411
ERZBISCHOF	6	57	296
CAVATINE	1	102	563
CLARA	13	225	1239
CINTHIO	20	450	2476
PABSTS GESTALT	1	0	0
PRIORIN	2	34	201
DIE NONNE	4	37	200
JAGDCHOR	12	122	686
BÜRGER 4.8	1	12	71
ANDERER BÜRGER 4.9	1	31	188
DAS MÄDCHEN	1	6	31
EIN ANDERES MÄDCHEN	1	5	27
NOCH EIN ANDERES MÄDCHEN	1	3	15
UNTERIRDISCHE STIMMEN	2	5	19
EINER DAVON	1	6	42
EIN ANDERER	4	43	248
NOCH EIN ANDERER	1	7	38
EINER VON DEN SEINIGEN	2	32	153
FEINDESHAUFE	1	7	37
EINIGE	1	8	49
EIN MÖNCH	1	66	395
KINDER	3	16	90
EINIGE MÄNNER	4	19	85
EIN MANN	6	35	172
ALLE NONNEN	2	33	177
