wer	acts	words	chars
DIE BERGKNAPPEN	18	127	765
EULENSPIEGEL	131	2885	17084
VIERSTIMMIGER GESANG MIT LAUTENSPIEL	4	39	205
MICHEL MICHAEL	193	3830	21226
LISE	102	1345	7286
DER ROTE KARL	56	596	3415
DER SCHWARZE KARL	37	409	2384
DER KAISER ROTBART	60	461	2644
DER GETREUE ECKART	56	526	2932
DER LANDRAT	60	666	3957
CHORGESANG MIT MUSIK	1	10	53
DER BERGRAT	88	991	5430
DER BÜRGERMEISTER	17	106	669
DIE FRAU BÜRGERMEISTERIN	27	204	1053
DER PASTOR	11	83	479
DER KAPLAN	24	182	976
SPRECHGESANG	1	19	107
DUMPFE STIMMEN IM HINTERGRUND	1	6	32
DER OBERHEIZER	8	72	472
DIE KOBOLDE	21	57	324
FRAU VENUS	36	1122	6570
DIE LANDRÄTE	9	39	264
DIE KAPLANE	7	32	225
DIE PASTOREN	7	37	217
DIE BÜRGERMEISTER	7	39	226
DIE HEIZER	14	97	630
DIE BERGLEUTE	8	59	405
EIN BERGMANN	1	9	60
DIE GANZE BANDE	1	14	86
ERSTER KOBOLD	11	37	187
ZWEITER KOBOLD	8	22	134
DRITTER KOBOLD	7	19	116
EINE DAME	4	10	41
DIE HERREN	3	11	49
DIE DAMEN	3	8	33
DIE POLIZISTEN	2	27	153
IMMER MEHR STIMMEN VON DRAUßEN HER	1	6	32
