wer	acts	words	chars
ZWEITER HENKER	1	5	28
DANTON	118	4869	27055
JULIE	20	321	1676
EINE DAME	4	34	195
HÉRAULT	23	688	3905
CAMILLE	47	1613	9249
PHILIPPEAU	12	281	1619
SIMON	24	331	1864
WEIB	13	197	1033
LEUTE	3	10	103
ERSTER BÜRGER	9	192	1101
ZWEITER BÜRGER	9	72	411
DRITTER BÜRGER	5	186	1130
ERSTER BÜRGER 3. AKT	6	57	312
ZWEITER BÜRGER 3. AKT	6	146	788
EINIGE STIMMEN 1. Akt	11	76	501
EINIGE STIMMEN 2. Akt	1	5	37
EINIGE STIMMEN 3. Akt	6	47	266
EINIGE STIMMEN 4. Akt	1	7	40
JUNGER MENSCH	3	11	79
DIE UMSTEHENDEN	3	6	71
ROBESPIERRE	29	2459	14574
EIN WEIB	4	68	350
EIN LYONER	1	184	1030
EIN JAKOBINER	1	9	52
LEGENDRE	11	304	1800
COLLOT D'HERBOIS	1	69	417
DIE JAKOBINER	1	6	31
PRÄSIDENT	2	9	52
LACROIX	44	1167	6579
MARION	6	625	3401
ROSALIE	7	66	350
ADELAIDE	3	21	117
PARIS	3	58	328
ST. JUST	22	1127	6730
EIN BÜRGER	15	153	808
BÄNKELSÄNGER	2	30	134
EIN BETTLER	6	93	468
ERSTER HERR	4	41	283
ZWEITER HERR	7	143	751
SOLDAT	3	39	218
JUNGER HERR	5	72	386
MADAME	2	27	154
EUGENIE	4	22	100
LUCILE	13	613	3259
ERSTER BÜRGERSOLDAT	5	50	306
ZWEITER BÜRGERSOLDAT	1	31	167
DIE ANDERN BÜRGERSOLDATEN	1	3	11
EIN DEPUTIERTER	2	24	120
EIN ANDERER DEPUTIERTER	7	103	609
CHAUMETTE	5	58	320
PAYNE	8	757	4180
MERCIER	9	204	1182
EIN GEFANGENER	2	22	136
EIN ANDRER GEFANGENER	2	26	186
FOUQUIER	11	196	1212
HERMAN	14	252	1431
DILLON	10	251	1379
LAFLOTTE	10	320	1742
WÄRTER	3	52	279
BARÈRE	18	524	2978
COLLOT	7	168	958
BILLAUD	7	117	692
SCHLIESSER	6	54	303
AMAR	2	21	108
VOULAND	1	4	30
EINIGE WEIBER	2	28	166
DUMAS	6	100	591
ERSTER FUHRMANN	6	65	338
ZWEITER FUHRMANN	7	129	694
EINE STIMME	2	3	15
EIN WEIB MIT KINDERN	1	18	107
EINE ANDERE	1	14	68
FABRE	1	6	38
ERSTES WEIB	1	7	31
ZWEITES WEIB	1	27	153
DRITTES WEIB	1	21	105
ERSTER HENKER	2	40	215
