wer	acts	words	chars
DIE WEIBSPERSON	6	73	379
MARIANE	118	2082	10637
CHARLOTTE	36	354	1818
STOLZIUS	42	714	3875
MUTTER VON STOLZIUS	10	247	1341
DESPORTES	49	1273	6851
WESENER	55	1575	8220
DER JUNGE GRAF	8	205	1042
HAUDY	46	1511	8290
HOFMEISTER	1	38	204
EISENHARDT	25	895	4999
OBRISTER	17	832	4714
MARY	42	1192	6284
PIRZEL	14	351	1907
EINER AUS DER GESELLSCHAFT	7	65	333
EIN ANDERER AUS DER GESELLSCHAFT	3	128	686
RAMMLER	25	536	2894
JUNGFER ZIPFERSAAT	7	160	869
WESENERS ALTE MUTTER	1	79	389
AARON	7	46	247
MAGD	1	11	49
FRAU WESENER	10	209	1066
GRÄFIN	38	1785	10066
BEDIENTER	4	24	109
JÄGER	1	45	231
MADEMOISELLE BISCHOF	10	254	1300
GILBERT	4	61	326
ALLE OFFIZIERS	2	24	133
