wer	acts	words	chars
ILONA	124	877	4651
MAX	414	4216	22715
ANATOL	725	11538	61934
CORA	34	242	1296
GABRIELE	97	1276	6669
BIANCA	37	344	1938
EMILIE	38	902	5013
ANNIE	91	1382	7114
KELLNER	3	12	55
ELSE	49	366	1712
FRANZ	13	57	300
