wer	acts	words	chars
CHOR DER MANNSCHAFT DES FLIEGENDEN HOLLÄNDERS	3	171	883
MATROSEN	19	391	2080
DALAND	27	894	4660
STEUERMANN	12	236	1158
HOLLÄNDER	29	1193	6405
CHOR	1	5	32
MÄDCHEN	31	570	2914
MARY	14	172	922
SENTA	46	1012	5114
ERIK	35	681	3564
CHOR DER NORWEGISCHEN MATROSEN	3	162	892
