wer	acts	words	chars
BAUERN	1	7	39
KÖNIG	41	645	3570
NARR	37	748	4038
BÜRGERMEISTER	4	81	439
PAPHNUTIUS	24	563	2990
ERSTER BÜRGER	1	16	74
ZWEITER BÜRGER	1	9	59
DRITTER BÜRGER	2	10	60
VIERTER BÜRGER	2	14	76
SECHSTER BÜRGER	2	14	70
ANDRER BÜRGER	1	6	42
FÜNFTER BÜRGER	1	6	33
SIEBENTER BÜRGER	1	8	38
ACHTER BÜRGER	1	9	44
GYMNASIAST	6	32	175
NEUNTER BÜRGER	1	5	31
ZEHNTER BÜRGER	1	9	42
REIGEN	3	34	185
ER	2	14	81
SIE	5	40	210
VATER	4	30	181
EIN BAUER	5	64	329
TÄNZER	1	7	39
ERSTER JÄGER	3	46	264
OBERJÄGERMEISTER	3	52	294
ZWEITER JÄGER	2	21	120
DRITTER JÄGER	2	27	148
KRIEGSGESANG	1	15	96
BIESTER	18	248	1387
NICOLAI	23	304	1686
SEBALDUS NOTHANKER	2	18	117
GESANG	3	27	144
RALF	34	486	2603
KUNZ	23	307	1734
OFFIZIER	6	132	724
SOLDATEN	5	69	396
DIE BLAUE	10	115	620
FREIMUND	24	369	1931
WILLIBALD	12	215	1172
DRAUSSEN	2	2	20
MATHILDE	17	397	2115
DIE SCHLEPPTRAGENDEN JÜNGLINGE	4	72	391
ERSTER SOLDAT	5	65	368
ZWEITER SOLDAT	5	64	371
DRITTER SOLDAT	5	66	375
VIERTER SOLDAT	4	65	360
COLOMBINE	13	385	2062
ERSTER DIENER	7	75	426
ZWEITER DIENER	4	35	184
DRITTER DIENER	3	30	165
VIERTER DIENER	2	20	101
FÜNFTER DIENER	2	17	95
SECHSTER DIENER	2	18	90
WÄCHTER	4	38	219
STIMMEN	11	142	768
GENERAL	4	76	456
