wer	acts	words	chars
ALLE GESELLEN	2	3	29
CHOR DER ALTEN ZAUBERER	1	34	190
STELLARIS	29	373	2186
MYSTIFAX	7	104	589
LUMPAZI	12	261	1444
FLUDRIBUS	6	67	371
DIE VÄTER	2	2	16
DIE SÖHNE	6	23	123
HILARIS	8	59	323
FORTUNA	9	281	1610
BRILLANTINE	3	5	32
AMOROSA	6	85	506
CHOR	15	157	824
LEIM	143	2719	14577
KNIERIEM	122	2090	11505
ZWIRN	216	3075	17149
FASSEL	10	121	719
HANNERL	4	34	177
HANDWERKSBURSCH	3	9	56
KNIEREIM	1	17	96
PANTSCH	11	136	788
STIMMEN	1	3	29
SEPHERL	6	68	348
HAUSIERER	11	87	506
ALLE WEIBER	1	5	27
EIN ZIMMERMANN	1	5	30
FREMDER	4	37	222
GERTRAUD	12	119	638
HOBELMANN	60	997	5250
PEPPI	24	281	1453
STRUDL	6	23	120
ERSTER BEDIENTER	7	50	280
ERSTER GESELL	5	19	116
ZWEITER GESELL	4	16	98
ZWEITER BEDIENTER	2	9	44
MALER	9	111	603
HACKAUF	3	78	413
WINDWACHEL	20	179	988
LÜFTIG	9	96	527
PALPITI	5	67	364
CAMILLA	29	268	1467
LAURA	15	190	995
CHOR DER GESELLSCHAFT	1	26	157
RESERL	11	113	578
WIRTIN	3	49	264
ALLE BAUERN	1	8	51
