wer	acts	words	chars
DIE KOSAKEN	1	36	215
KILIAN	64	1584	8671
DOCTOR	259	5808	32669
SCHLAUKOPF	169	3078	17232
CHOR DER SKLAVEN	14	333	1930
GERMANIA	33	786	4240
DER DICHTER	2	3433	19066
ERSTES FRAUENZIMMER	4	52	167
ZWEITES FRAUENZIMMER	3	49	72
MEDEA	5	93	529
ANTIGONE	5	81	477
ROMANTIKER	10	574	3303
PHILOSOPH	50	1000	5740
FREMDE	1	150	851
DIE FREMDE	15	715	4111
ERSTER GENSD'ARM	10	103	611
ZWEITER GENSD'ARM	8	56	332
CHOR	6	40	222
CHOR DER MÖNCHE	1	40	230
DIE WIEDERGEBORENEN	1	26	144
CHOR DER RITTER	1	42	235
CHOR DER GÄNSE	1	58	345
CHOR DER FREISINNIGEN	1	41	263
EIN NACHTWÄCHTER	1	48	261
