wer	acts	words	chars
JACK	21	322	1680
DER NORMALE LESER	4	153	872
DER RÜHRIGE VERLEGER	3	121	677
DER VERSCHÄMTE AUTOR	5	225	1298
DER HOHE STAATSANWALT	6	247	1338
RODRIGO	80	3138	18363
DIE GESCHWITZ	54	1695	9270
ALWA	146	3115	18200
SCHIGOLCH	104	1684	9251
HUGENBERG	23	524	2932
LULU	210	4583	25683
BIANETTA	4	59	323
MAGELONE	22	440	2433
GRAF CASTI-PIANI	1	21	139
KADIDJA	15	131	692
JOURNALIST HEILMANN	14	141	787
PUNTSCHU	20	496	2820
LUDMILLA STEINHERZ	9	159	887
BOB	7	51	280
EIN POLIZEIKOMMISSÄR	1	29	145
HERR HUNIDEI	12	60	309
KUNGU POTI	9	183	999
DR. Hilti	11	272	1221
