wer	acts	words	chars
SCHLOSSWART	3	39	194
ZENGER	21	290	1560
WALTHER	21	469	2555
KÜCHMEISTER	70	1137	6106
RODE	6	311	1730
ROMINTA	73	1434	7584
JOLANTE	28	665	3469
GEORG VON WIRSBERG	80	2107	11176
ERSTER SOLDAT	4	31	175
ZWEITER SOLDAT	3	38	211
HERMANN GANS	22	344	1936
GRAF VON KYBURG	21	323	1736
JOHANN VON SCHÖNFELD	55	868	4665
GRAF SCHWARZBURG	53	1373	7492
BAUER	5	171	919
RITTER	2	85	475
ERSTER POLNISCHER SOLDAT	2	9	75
ZWEITER POLNISCHER SOLDAT	2	25	147
GRAF HEINRICH VON PLAUEN	117	3999	21371
EIN HAUPTMANN	1	32	159
GESANG	4	59	313
SOLDAT	5	120	694
HANNS VON BAYSEN	30	810	4377
MEHRERE SÖLDNER	3	7	43
CZERVANY	22	470	2674
LANGSCHENKEL	21	427	2273
DER BURGEMEISTER VON MARIENBURG	3	84	468
EIN RITTER	1	7	36
HEROLD	3	107	568
WUTTKE	13	302	1749
KUNTZ	4	100	560
FRIEDRICH VON KINTHENAU	37	1207	6409
POLKAU	9	190	1012
POLNISCHER HAUPTMANN	6	80	407
SCHÄVEN	26	387	2116
JOST VON HOHENKIRCH	20	330	1810
KÖNIG	11	142	766
GRAF SAYN	26	590	3125
GERTRUD	35	1188	6187
ELSBETH	18	310	1610
DIETRICH	12	280	1445
RENYS	32	499	2725
BURGWART	3	46	231
EIN DIENER BEI RENYS	9	234	1249
EIN DIENER BEI KÜCHMEISTER	5	41	209
ERSTE STIMME	3	26	151
ZWEITE STIMME	3	30	156
STIMME	1	9	44
ERSTER DIENER	1	7	40
ZWEITER DIENER	1	6	34
DRITTER DIENER	1	3	16
ERSTER REISIG	2	28	156
ZWEITER REISIG	1	13	63
ERSTER BAUER	6	72	365
ZWEITER BAUER	3	30	158
MEHRERE BAUERN	2	11	54
