wer	acts	words	chars
ZWEITER WÄCHTER	3	7	34
ZECH	3	74	396
ZUWAG	4	90	506
PLUTZERKERN	7	115	601
FRIEDRICH	26	273	1489
ANTON	8	79	437
SEPHERL	54	506	2664
CHRISTOPH	17	178	956
NETTEL	5	50	269
SEPPEL	8	41	249
RESI	5	38	218
GOLDFUCHS	101	1282	7298
DAMIAN	157	2796	15268
JOHANN	144	3679	20584
SALERL	57	939	4990
BONBON	37	520	2852
SCHLUCKER	117	1641	8939
ZINS	62	1169	6317
EMILIE	70	652	3440
FANNY	71	909	4732
ADOLF	79	961	5047
FRAU VON STEINFELS	1	5	27
HERR VON STEINFELS	4	16	91
FRAU VON WACHSWEICH	1	5	22
HERR VON WACHSWEICH	1	5	29
DIE GESELLSCHAFT	2	3	20
CHOR DER GÄSTE	3	48	268
CHOR	7	151	816
ASPIK	2	34	181
FRANÇOIS	6	100	532
MERIDON	9	88	492
WILM	10	113	614
WERMUTH	5	26	136
EINIGE HERREN	1	8	49
EIN HERR	2	20	92
GROB	11	124	688
TRUMPF	5	57	317
BEAMTER	13	212	1290
BEDIENTE	2	36	198
DIE BEDIENTEN	6	39	294
EIN WÄCHTER	4	15	80
