wer	acts	words	chars
ARZT	4	15	70
MARIE	80	2986	15862
BALTHASAR	85	4506	24263
FRANZ	240	12629	68819
DIENER	1	14	75
ULRICH	114	7196	40226
KARL V	29	1698	9380
RENNER	23	1782	9658
ERZBISCHOF RICHARD	19	707	3810
LUDWIG	21	554	2999
RICHARD	25	1016	5603
PHILIPP	29	899	4885
LEGAT	17	1097	6142
OECOLAMPADIUS	6	191	1068
DHAN	12	108	569
DALBERG	14	138	719
RÜDESHEIM	13	139	747
SCHWARZENBERG	13	122	663
TÜRKHEIM	11	105	557
FÜRSTENBERG	37	519	2798
LORCH	12	116	631
GEHEIMSCHREIBER	2	57	328
RITTER	14	938	5263
EITELFRITZ	31	462	2486
HARTMUTH	5	49	247
FROWIN	20	396	2021
EIN LANZKNECHT	4	68	382
EIN LANZKNECHT (10)	5	49	266
HEROLD	10	306	1704
HAUPTMANN JÖRG	12	522	2926
RITTER FRITZ SOMBREFF	12	157	808
ERSTE FRAU	2	10	62
ZWEITE FRAU	2	12	72
DRITTE FRAU	2	16	94
ERSTER BÜRGER	2	14	80
ZWEITER BÜRGER	2	15	98
DRITTER BÜRGER	5	91	499
VIERTER BÜRGER	5	174	950
VIELE STIMMEN	7	21	129
HAUPTMANN	2	33	180
LANZKNECHT (SICKINGEN) 4.7	2	22	134
EIN SÖLDNER	2	12	64
CHORAL	3	47	302
ERSTER LANZKNECHT	1	14	69
ZWEITER LANDSKNECHT	1	5	23
FROWIN VON HUTTEN	2	27	156
ERSTER BOTE	5	106	579
ZWEITER BOTE	5	64	352
REISIGER	6	154	853
KURT	10	269	1305
WIRT	9	90	463
JOS FRITZ	38	1449	7632
ERSTER BAUER	5	94	492
ZWEITER BAUER	3	30	136
DRITTER BAUER	5	52	258
EIN BAUER	1	4	16
VIERTER BAUER	2	11	54
EINIGE BAUERN	3	24	129
EIN KNAPPE	1	18	92
MARI	1	2	7
