Dekade	Title	Number of characters	Max Degree	Average Degree	Density	Average Path Length									
1750	1757-Klopstock_Friedrich_Gottlieb-Der_Tod_Adams-speakers	11,00	10,00	7,27	0,73	1,27	Trauerspiel	1757-Klopstock_Friedrich_Gottlieb-Der_Tod_Adams-lina.xml							
1750	1758-Brawe_Joachim_Wilhelm_von-Der_Freigeist-speakers	6,00	4,00	2,33	0,47	1,67	Trauerspiel	1758-Brawe_Joachim_Wilhelm_von-Der_Freigeist-lina.xml							
1750	1758-Wieland_Christoph_Martin-Lady_Johanna_Gray_oder_Der_Triumf_der_Religion-speakers	9,00	8,00	4,89	0,61	1,39	Trauerspiel	1758-Wieland_Christoph_Martin-Lady_Johanna_Gray_oder_Der_Triumf_der_Religion-lina.xml							
1750	1759-Lessing_Gotthold_Ephraim-Philotas-speakers	4,00	3,00	2,00	0,67	1,33	Trauerspiel	1759-Lessing_Gotthold_Ephraim-Philotas-lina.xml							
1760	1760-Cronegk_Johann_Friedrich_von-Der_Mißtrauische-speakers	7,00	6,00	6,00	1,00	1,00	Lustspiel	1760-Cronegk_Johann_Friedrich_von-Der_Mi%C3%9Ftrauische-lina.xml							
1760	1760-Wieland_Christoph_Martin-Klementina_von_Porretta-speakers	11,00	10,00	7,82	0,78	1,22		1760-Wieland_Christoph_Martin-Klementina_von_Porretta-lina.xml							
1760	1762-Gessner_Salomon-Evander_und_Alcimna-speakers	14,00	10,00	3,71	0,29	1,87	Schäferspiel	1762-Gessner_Salomon-Evander_und_Alcimna-lina.xml							
1760	1763-Hafner_Philipp-Mägera_die_förchterliche_Hexe_oder_Das_bezauberte_Schloß_des_Herrn_von_Einhorn-speakers	10,00	9,00	7,00	0,78	1,22		1763-Hafner_Philipp-M%C3%A4gera_die_f%C3%B6rchterliche_Hexe_oder_Das_bezauberte_Schlo%C3%9F_des_Herrn_von_Einhorn-lina.xml							
1760	1764-Hafner_Philipp-Der_Furchtsame-speakers	9,00	8,00	8,00	1,00	1,00	Lustspiel	1764-Hafner_Philipp-Der_Furchtsame-lina.xml							
1760	1765-Hippel_Theodor_Gottlieb_von-Der_Mann_nach_der_Uhr_oder_der_ordentliche_Mann-speakers	6,00	5,00	5,00	1,00	1,00	Lustspiel	1765-Hippel_Theodor_Gottlieb_von-Der_Mann_nach_der_Uhr_oder_der_ordentliche_Mann-lina.xml							
1760	1766-Weiße_Christian_Felix-Atreus_und_Thyest-speakers	5,00	4,00	3,60	0,90	1,10	Trauerspiel	1766-Wei%C3%9Fe_Christian_Felix-Atreus_und_Thyest-lina.xml							
1760	1767-Klemm_Christian_Gottlob-Der_auf_den_Parnass_versetzte_grüne_Hut-speakers	7,00	6,00	6,00	1,00	1,00		1767-Klemm_Christian_Gottlob-Der_auf_den_Parnass_versetzte_gr%C3%BCne_Hut-lina.xml							
1760	1767-Kurz_Joseph_von:-Prinzessin_Pumphia-speakers	13,00	10,00	5,85	0,49	1,32									
1760	1767-Lessing_Gotthold_Ephraim-Minna_von_Barnhelm_oder_Das_Soldatenglück-speakers	13,00	11,00	5,08	0,42	1,60	Lustspiel	1767-Lessing_Gotthold_Ephraim-Minna_von_Barnhelm_oder_Das_Soldatengl%C3%BCck-lina.xml							
1760	1767-Sturz_Helfrich_Peter-Julie-speakers	10,00	7,00	4,40	0,49	1,60	Trauerspiel	1767-Sturz_Helfrich_Peter-Julie-lina.xml							
1760	1768-Gerstenberg_Heinrich_Wilhelm_von-Ugolino-speakers	4,00	3,00	3,00	1,00	1,00	Tragödie	1768-Gerstenberg_Heinrich_Wilhelm_von-Ugolino-lina.xml							
1760	1769-Ayrenhoff_Cornelius_Hermann_von-Der_Postzug_oder_die_noblen_Passionen-speakers	11,00	10,00	7,64	0,76	1,24	Lustspiel	1769-Ayrenhoff_Cornelius_Hermann_von-Der_Postzug_oder_die_noblen_Passionen-lina.xml							
1760	1769-Klopstock_Friedrich_Gottlieb-Hermanns_Schlacht-speakers	44,00	42,00	21,18	0,49	1,51		1769-Klopstock_Friedrich_Gottlieb-Hermanns_Schlacht-lina.xml							
1770	1770-Weiße_Christian_Felix-Die_Jagd-speakers	15,00	12,00	7,73	0,55	1,49	Oper	1770-Wei%C3%9Fe_Christian_Felix-Die_Jagd-lina.xml							
1770	1772-Lessing_Gotthold_Ephraim-Emilia_Galotti-speakers	13,00	9,00	4,46	0,37	1,78	Trauerspiel	1772-Lessing_Gotthold_Ephraim-Emilia_Galotti-lina.xml							
1770	1773-Goethe_Johann_Wolfgang_von-Götz_von_Berlichingen_mit_der_eisernen_Hand-speakers	70,00	44,00	7,83	0,11	2,35	Schauspiel	1773-Goethe_Johann_Wolfgang_von-G%C3%B6tz_von_Berlichingen_mit_der_eisernen_Hand-lina.xml							
1770	1773-Wieland_Christoph_Martin-Alceste-speakers	5,00	4,00	4,00	1,00	1,00	Singspiel	1773-Wieland_Christoph_Martin-Alceste-lina.xml							
1770	1774-Goethe_Johann_Wolfgang_von-Clavigo-speakers	10,00	9,00	7,60	0,84	1,16	Trauerspiel	1774-Goethe_Johann_Wolfgang_von-Clavigo-lina.xml							
1770	1774-Goethe_Johann_Wolfgang_von-Götter_Helden_und_Wieland-speakers	10,00	9,00	9,00	1,00	1,00		1774-Goethe_Johann_Wolfgang_von-G%C3%B6tter_Helden_und_Wieland-lina.xml							
