name;title;author;chars;words;speech_acts
FRAU SYLVESTERINN;Der geschÃ_ftige MüÃŸiggÃ_nger;Schlegel, Johann Elias;37189;6986;348
JAROMIR;Die Ahnfrau;Grillparzer, Franz;37184;7010;117
MARWOOD;MiÃŸ Sara Sampson;Lessing, Gotthold Ephraim;37134;6549;155
DER PRINZ;Die Opferung;Kaltneker, Hans;37090;6806;155
HERMANN;Die Hermannsschlacht;Kleist, Heinrich von;37005;6785;264
ANNA;Anna Iwanowna;Ertler, Bruno;36766;7379;313
AUGUST;Die Haubenlerche;Wildenbruch, Ernst von;36755;7106;353
SCHILLER;Die Karlsschüler;Laube, Heinrich;36687;6354;218
HENLEY;Der Freigeist;Brawe, Joachim Wilhelm von;36577;6212;79
RUDOLF;Ein Bruderzwist in Habsburg;Grillparzer, Franz;36145;6789;118
HERZOG;Die Karlsschüler;Laube, Heinrich;36124;6303;275
ALMANSOR;Almansor;Heine, Heinrich;36074;6523;64
JOHANNA;Die Jungfrau von Orleans;Schiller, Friedrich;36040;6636;153
TIMANT;Der MiÃŸtrauische;Cronegk, Johann Friedrich von;35992;6372;142
DER GRAF VOM STRAHL;Das KÃ_thchen von Heilbronn oder die Feuerprobe;Kleist, Heinrich von;35877;6718;341
ADRAST;Der Freigeist;Lessing, Gotthold Ephraim;35423;6418;255
LEON;Weh dem, der lügt!;Grillparzer, Franz;35332;6977;324
OBERFÃ–RSTER;Die JÃ_ger;Iffland, August Wilhelm;35270;6861;372
MAGDA;Heimat;Sudermann, Hermann;35217;6499;281
HERO;Des Meeres und der Liebe Wellen;Grillparzer, Franz;35105;6879;231
SCHEIK;Babel und Bibel;May, Karl;35053;6946;318
FAUST;Don Juan und Faust;Grabbe, Christian Dietrich;34997;6608;140
LOTTCHEN;Die zÃ_rtlichen Schwestern;Gellert, Christian Fürchtegott;34814;6256;139
INGOMAR;Der Sohn der Wildnis;Halm, Friedrich;34645;6868;238
DAS FRÃ„ULEIN;Minna von Barnhelm oder Das Soldatenglück;Lessing, Gotthold Ephraim;34556;6353;251
UEXKÃœLL;Ignorabimus;Holz, Arno;34434;5401;335
DON JUAN;Don Juan und Faust;Grabbe, Christian Dietrich;34403;6477;244
KARL;Ãœberteufel;Essig, Hermann;34229;6319;424
FAUST;Faust;Klingemann, August;34205;6674;348
Ã–DIPUS;Ã–dipus und die Sphinx;Hofmannsthal, Hugo von;34021;6656;205
FAUST;Faust. Der Tragödie zweiter Teil;Goethe, Johann Wolfgang von;33815;5991;122
MERLIN;Merlin;Immermann, Karl;33654;5204;123
FIGARO;Figaro in Deutschland;Iffland, August Wilhelm;33572;6220;398
SAPPHO;Sappho;Grillparzer, Franz;33317;6205;152
VON TELLHEIM;Minna von Barnhelm oder Das Soldatenglück;Lessing, Gotthold Ephraim;33272;6116;264
TEMPELHERR;Nathan der Weise;Lessing, Gotthold Ephraim;33269;6424;247
NIEMEYER;Traumulus;Holz, Arno;33192;5656;252
ODOARDO;MÃ_gera, die förchterliche Hexe oder Das bezauberte SchloÃŸ des Herrn von Einhorn;Hafner, Philipp;33174;5937;150
SIGISMUND;Der Turm;Hofmannsthal, Hugo von;33148;6128;236
GULDBERG;Struensee;Laube, Heinrich;33098;5934;222
GOTTSCHED;Gottsched und Gellert;Laube, Heinrich;33064;5655;348
THEODOR;Der Unbestechliche;Hofmannsthal, Hugo von;33052;5703;165
WEIGELT;Mein Leopold;L'Arronge, Adolph;32872;6054;315
DOCTOR;Die politische Wochenstube;Prutz, Robert Eduard;32669;5808;259
SAVAGE;Richard Savage oder Der Sohn einer Mutter;Gutzkow, Karl;32606;5793;99
CABOGA;Marino Caboga;Arnim, Ludwig Achim von;32575;5812;81
HAUSVATER;Der deutsche Hausvater oder die Familie;Gemmingen-Hornberg, Otto Heinrich von;32489;5823;244
ELIS;Das Bergwerk zu Falun;Hofmannsthal, Hugo von;32480;6285;197
SALA;Der einsame Weg;Schnitzler, Arthur;32460;5748;244
GRANDISON;Klementina von Porretta;Wieland, Christoph Martin;32459;5639;94
LANGEN;Die Reue nach der That;Wagner, Heinrich Leopold;32242;5904;197
GERARDO;Der KammersÃ_nger;Wedekind, Frank;32230;5763;154
NAPOLEON;Napoleon oder Die hundert Tage;Grabbe, Christian Dietrich;32184;5732;184
MARIAMNE;Herodes und Mariamne;Hebbel, Friedrich;32142;6256;203
