name;title;author;chars;words;speech_acts
VIPRIA;Die gefesselte Phantasie;Raimund, Ferdinand;9709;1726;93
CHAPELLE;Das Urbild des Tartüffe;Gutzkow, Karl;9706;1731;91
MANFRED;König Manfred;Roeber, Friedrich;9701;1851;67
ASTARTE;Gaukler, Tod und Juwelier;Hauptmann, Carl;9697;1546;35
SPERLING;Die deutschen KleinstÃ_dter;Kotzebue, August von;9676;1689;124
CÃ–LESTIN;Fritz Schwigerling oder Der Liebestrank;Wedekind, Frank;9673;1627;109
GLUTHAMMER;Der Zerrissene;Nestroy, Johann;9666;1761;97
JOSEPHA;Die Kreuzelschreiber;Anzengruber, Ludwig;9665;2014;125
RENNER;Franz von Sickingen;Lassalle, Ferdinand;9658;1782;23
SCHWEIZER;Die RÃ_uber;Schiller, Friedrich;9655;1753;67
RHAMNES;Sappho;Grillparzer, Franz;9651;1793;113
OKURIRASÃ›NA;OkurirasÃ»na;Scheerbart, Paul;9650;1701;66
STURMWALD;Doktor und Apotheker;Stephanie, Johann Gottlieb (der Jüngere);9645;1801;61
JULIA;Die Verschwörung des Fiesco zu Genua;Schiller, Friedrich;9643;1686;52
TIMOLAOS;Der Meister von Palmyra;Wilbrandt, Adolf von;9636;1726;42
PROFESSOR;Faust;Avenarius, Ferdinand;9631;1843;36
MARINA;Demetrius;Hebbel, Friedrich;9618;1808;72
DAS SÃœSSE MÃ„DEL;Reigen;Schnitzler, Arthur;9614;1890;211
DON CÃ„SAR;Ein Bruderzwist in Habsburg;Grillparzer, Franz;9608;1784;41
KLYTÃ„MNESTRA;Elektra;Hofmannsthal, Hugo von;9604;1919;36
ELSE;Musik;Wedekind, Frank;9602;1700;31
SCHUISKOI;Demetrius;Hebbel, Friedrich;9579;1809;71
FRAU WAHL;Das weite Land;Schnitzler, Arthur;9579;1706;102
WAGNER;Faust;Klingemann, August;9575;1803;84
LÃ„UFFER;Der Hofmeister oder Vorteile der Privaterziehung;Lenz, Jakob Michael Reinhold;9567;1741;87
SONDERRATH;Perdu! oder Dichter, Verleger und Blaustrümpfe;Droste-Hülshoff, Annette von;9554;1748;126
SERAPHINE;Die Freunde machen den Philosophen;Lenz, Jakob Michael Reinhold;9550;1721;44
MORITZ;Die Lügnerin;Benedix, Julius Roderich;9540;1738;73
ROBERT;Die Indianer in England;Kotzebue, August von;9527;1718;104
OLMERS;Die deutschen KleinstÃ_dter;Kotzebue, August von;9521;1682;144
ODYSSEUS;Penthesilea;Kleist, Heinrich von;9521;1722;40
THAYER;StaatsrÃ_son;Mühsam, Erich;9514;1534;69
TUTU;Der Barometermacher auf der Zauberinsel;Raimund, Ferdinand;9508;1706;72
HERR VIELWITZ;Der Witzling;Gottsched, Luise Adelgunde Victorie;9502;1676;79
LEANDER;MÃ_gera, die förchterliche Hexe oder Das bezauberte SchloÃŸ des Herrn von Einhorn;Hafner, Philipp;9498;1713;62
EUSTACHE;Die Familie Schroffenstein;Kleist, Heinrich von;9496;1858;86
ALBERICH;Das Rheingold;Wagner, Richard;9488;1876;65
TOSSMANN;Die Schule des Armen oder Zwei Millionen;Kaiser, Friedrich;9485;1719;51
ADELE;Die Fledermaus;Haffner, Carl;9485;1762;101
ODOARDO;Der auf den Parnass versetzte grüne Hut;Klemm, Christian Gottlob;9484;1807;126
OCTAVIAN;Der Rosenkavalier;Hofmannsthal, Hugo von;9483;1911;151
CORNELIA;Gracchus der Volkstribun;Wilbrandt, Adolf von;9470;1745;40
GEORG;Der Waffenschmied;Lortzing, Albert (Gustav);9465;1755;109
LISETTE;Der Furchtsame;Hafner, Philipp;9455;1701;69
LENORE;Die Ehre;Sudermann, Hermann;9429;1751;112
ELMIRE;Erwin und Elmire;Goethe, Johann Wolfgang von;9420;1737;51
DER JUNGE HERR;Reigen;Schnitzler, Arthur;9410;1854;161
KAISER;Der Kreidekreis;Klabund;9407;1661;47
DORIS;Halle;Arnim, Ludwig Achim von;9407;1834;62
LEANDER;Damon, oder die wahre Freundschaft;Lessing, Gotthold Ephraim;9404;1730;39
ROCHUS;Die Jubelfeier der Hölle, oder Faust der jüngere;Benkowitz, Karl Friedrich;9401;1653;44
MOLLY;Der Marquis von Keith;Wedekind, Frank;9397;1734;67
CHRISTIANCHEN;Die Betschwester;Gellert, Christian Fürchtegott;9388;1766;58
TOLSTOI;Das Gericht von St. Petersburg;Immermann, Karl;9382;1674;62
KARL V;Franz von Sickingen;Lassalle, Ferdinand;9380;1698;29
SCHLENDER;Die Freier;Eichendorff, Joseph von;9379;1745;84
DONNA DIANA;Der neue Menoza oder Geschichte des cumbanischen Prinzen Tandi;Lenz, Jakob Michael Reinhold;9369;1754;53
ZIERAU;Der neue Menoza oder Geschichte des cumbanischen Prinzen Tandi;Lenz, Jakob Michael Reinhold;9362;1640;55
JOAB;Judith und Holofernes;Nestroy, Johann;9354;1746;44
ALCIMNA;Evander und Alcimna;Gessner, Salomon;9351;1735;67
LOTTCHEN;Der lustige Fritz oder Schlafe, TrÃ_ume, stehe auf, kleide dich an und bessre dich!;Meisl, Karl;9350;1718;64
SCHLENKHEIM;Die Schule des Armen oder Zwei Millionen;Kaiser, Friedrich;9348;1684;59
MARTIN KRUMM;Die Juden;Lessing, Gotthold Ephraim;9333;1780;56
QUESTENBERG;Die Piccolomini;Schiller, Friedrich;9328;1679;59
PHARNACES;Der sterbende Cato;Gottsched, Johann Christoph;9327;1750;28
MUSARION;Faustine, der weibliche Faust;SchÃ_fer, Wilhelm;9321;1700;42
CHRISTINE;Das goldene Kreuz;Mosenthal, Salomon Hermann von;9315;1755;88
DER FREMDE;Belian und Marpalye;Ertler, Bruno;9310;1670;85
MARQUIS;Das Erbtheil des Vaters;Iffland, August Wilhelm;9305;1666;93
KÃ–NIG;Ein treuer Diener seines Herrn;Grillparzer, Franz;9301;1749;56
DER WANDERER;Siegfried;Wagner, Richard;9299;1785;48
MARIE;Armut;Wildgans, Anton;9288;1739;146
TEUT;Der Moloch;GerhÃ_user, Emil;9283;1829;115
KATHARINA;Fritz Schwigerling oder Der Liebestrank;Wedekind, Frank;9278;1640;130
WACHTMEISTER;Wallensteins Lager;Schiller, Friedrich;9271;1767;53
SEKRETÃ„R;Die natürliche Tochter;Goethe, Johann Wolfgang von;9270;1661;45
DIE GESCHWITZ;Die Büchse der Pandora;Wedekind, Frank;9270;1695;54
TESSENDORFF;Judas. Ein Arbeiterdrama;Mühsam, Erich;9268;1605;61
FELIX;Ponce de Leon;Brentano, Clemens;9254;1723;86
AUGUSTE;Berlin, wie es weint und lacht;Berg, O. F.;9254;1662;90
SCHIGOLCH;Die Büchse der Pandora;Wedekind, Frank;9251;1684;104
CAMILLE;Dantons Tod;Büchner, Georg;9249;1613;47
LISCHEN;Der Alpenkönig und der Menschenfeind;Raimund, Ferdinand;9236;1702;72
BÃœRGERMEISTER;Freiheit in KrÃ_hwinkel;Nestroy, Johann;9234;1600;86
WALLROD;Golo und Genovefa;Müller, Friedrich (Maler Müller);9232;1639;55
CASPAR BERNAUER;Agnes Bernauer;Hebbel, Friedrich;9210;1682;70
ZAWISCH;König Ottokars Glück und Ende;Grillparzer, Franz;9198;1807;95
DER HERZOG VON DANZIG;Andreas Hofer, der Sandwirt von Passeyer;Immermann, Karl;9197;1678;46
AUGUST;Ein Trauerspiel in Berlin;Holtei, Karl von;9193;1713;67
OLDENDORF;Die Journalisten;Freytag, Gustav;9192;1619;72
SYLVA;Monaldeschi;Laube, Heinrich;9190;1769;100
POMPONIUS;Gracchus der Volkstribun;Wilbrandt, Adolf von;9187;1679;55
SIMON;Die zÃ_rtlichen Schwestern;Gellert, Christian Fürchtegott;9175;1612;47
KÃ–NIGIN;Zopf und Schwert;Gutzkow, Karl;9173;1565;60
MARFA;Demetrius;Hebbel, Friedrich;9162;1783;78
ALWA;Erdgeist;Wedekind, Frank;9153;1655;156
TSCHU;Der Kreidekreis;Klabund;9146;1515;48
SUSANNA;Der Bookesbeutel;Borkenstein, Hinrich;9144;1705;44
MUTTER;Armut;Wildgans, Anton;9144;1683;127
HELENE KREINER;Medusa;Lautensack, Heinrich;9143;1654;123
CASPAR;Genoveva;Hebbel, Friedrich;9121;1800;75
AMALIA;Der Freigeist;Brawe, Joachim Wilhelm von;9117;1628;29
FILITZ;Professor Bernhardi;Schnitzler, Arthur;9111;1499;70
LÃ„TORIUS;Gracchus der Volkstribun;Wilbrandt, Adolf von;9109;1662;66
REGEL;Die Verehrung der Vollkommenheit durch die gebesserten deutschen Schauspiele;Neuber, Friederike Caroline;9097;1693;56
POSTHALTERIN;Die Fahnenweihe;Ruederer, Josef;9086;1739;176
ITHURIEL;Johann Faust;Weidmann, Paul;9085;1612;50
ANTIOPE;Ã–dipus und die Sphinx;Hofmannsthal, Hugo von;9083;1820;86
CALIBAN;Die Geisterinsel;Gotter, Friedrich Wilhelm;9082;1705;91
MISTRISS SMITH;Die Indianer in England;Kotzebue, August von;9078;1583;71
DIE SÃ„NGERIN;Die Opferung;Kaltneker, Hans;9078;1719;69
HECHINGEN;Der Schwierige;Hofmannsthal, Hugo von;9075;1604;66
PAULA;Der Raub der Sabinerinnen;Schönthan, Franz und Paul von;9070;1645;131
LISIDOR;Der Freigeist;Lessing, Gotthold Ephraim;9062;1706;62
FLORA;Die Freier;Eichendorff, Joseph von;9054;1712;74
CLOWN ODEBRECHT;Tobias Buntschuh;Hauptmann, Carl;9032;1393;59
DIE OBERPRIESTERIN;Penthesilea;Kleist, Heinrich von;9029;1702;90
ILEFELD;Die Haubenlerche;Wildenbruch, Ernst von;9020;1783;120
WALTER FÃœRST;Wilhelm Tell;Schiller, Friedrich;9016;1657;78
FRÃ„ULEIN VON SONNSFELD;Zopf und Schwert;Gutzkow, Karl;9008;1568;83
ROSA;Hasemann's Töchter;L'Arronge, Adolph;8999;1681;103
STROM;Der geschÃ_ftige MüÃŸiggÃ_nger;Schlegel, Johann Elias;8998;1677;74
WAITWELL;MiÃŸ Sara Sampson;Lessing, Gotthold Ephraim;8992;1630;41
DAS VORSTANDSMITGLIED;Im Suff;Alberti, Konrad;8990;1634;5
LIESCHEN;Der geschÃ_ftige MüÃŸiggÃ_nger;Schlegel, Johann Elias;8978;1664;73
RÃœDEGER;Kriemhilds Rache;Hebbel, Friedrich;8964;1760;83
AHASVERUS;Jerusalem;Arnim, Ludwig Achim von;8962;1631;41
ALTER HERR;Faust;Vischer, Friedrich Theodor;8957;1608;37
DORIS;Das SchÃ_ferfest oder Die Herbstfreude;Neuber, Friederike Caroline;8950;1742;99
MELITTA;Sappho;Grillparzer, Franz;8948;1762;122
HELENA;Johann Faust;Weidmann, Paul;8948;1667;52
CASSIAN;Der tapfere Cassian;Schnitzler, Arthur;8945;1600;82
PROFESSOR REMIGIUS WOHLGEMUT;Dies irae;Wildgans, Anton;8936;1592;130
UNRUH;Bürgerlich und Romantisch;Bauernfeld, Eduard von;8929;1552;79
SEIFERT;Kater Lampe;Rosenow, Emil;8923;1555;118
BERNHARDY;Pension Schöller;Laufs, Carl;8918;1535;66
LOHENGRIN;Lohengrin;Wagner, Richard;8909;1745;49
HABAKUK;Der Alpenkönig und der Menschenfeind;Raimund, Ferdinand;8897;1648;78
JOUVE;Napoleon oder Die hundert Tage;Grabbe, Christian Dietrich;8893;1585;50
LILA;Prinz Zerbino oder die Reise nach dem guten Geschmack;Tieck, Ludwig;8882;1695;49
JUNGFER OHLDIN;Die alte Jungfer;Lessing, Gotthold Ephraim;8879;1700;98
MUTTER;Die Schwestern St. Janvier;WeiÃŸenthurn, Johanna von;8876;1751;58
WIRT;Der Herrgottschnitzer von Ammergau;Ganghofer, Ludwig;8872;1648;94
PHÃ–NIX;Ã–dipus und die Sphinx;Hofmannsthal, Hugo von;8870;1767;97
JURANITSCH;Zriny;Körner, Theodor;8868;1689;43
TOLOMEO;Abellino;Zschokke, Heinrich;8857;1514;44
PAULET;Maria Stuart;Schiller, Friedrich;8853;1597;76
HERODES;Salome;Lachmann, Hedwig;8844;1625;51
CHRISTOPH;Einen Jux will er sich machen;Nestroy, Johann;8843;1667;159
AHASVERUS;Halle;Arnim, Ludwig Achim von;8843;1582;59
BRÃœNNHILDE;Die Walküre;Wagner, Richard;8837;1683;64
CATHRINE;Der geschÃ_ftige MüÃŸiggÃ_nger;Schlegel, Johann Elias;8814;1651;58
GEORGINEL;Musik;Hauptmann, Carl;8812;1431;51
NELKENSTEIN;Eulenspiegel oder Schabernack über Schabernack;Nestroy, Johann;8798;1606;118
SCHWEIGEL;Die Lokalbahn;Thoma, Ludwig;8782;1693;111
BURRUS;Nero;Panizza, Oskar;8777;1390;14
PHYLLIS;Die verhÃ_ngnisvolle Gabel;Platen, August von;8776;1579;77
ADALBERT;Ernst Herzog von Schwaben;Uhland, Ludwig;8769;1643;40
LÃ„MMLEIN;Ein Trauerspiel in Berlin;Holtei, Karl von;8759;1541;69
TRAUERSPIEL;Die Verehrung der Vollkommenheit durch die gebesserten deutschen Schauspiele;Neuber, Friederike Caroline;8755;1670;52
BRENNINGER;Die Kreuzelschreiber;Anzengruber, Ludwig;8755;1798;12
JOHANN;Johann, Herzog von Finnland;WeiÃŸenthurn, Johanna von;8749;1606;70
KAMILLA;Klementina von Porretta;Wieland, Christoph Martin;8742;1510;20
HERMIONE;Die gefesselte Phantasie;Raimund, Ferdinand;8742;1620;74
JULIUS KRABBE;Vatersorgen;Birch-Pfeiffer, Charlotte;8733;1560;74
BARONIN;Der Wildschütz oder Die Stimme der Natur;Kotzebue, August von;8732;1625;129
FRAU FLUTH;Die lustigen Weiber von Windsor;Mosenthal, Salomon Hermann von;8719;1637;109
SCHLUCKER;Zu ebener Erde und erster Stock oder Die Launen des Glückes;Nestroy, Johann;8716;1601;109
LISETTE;Die alte Jungfer;Lessing, Gotthold Ephraim;8715;1643;86
JULIANE;Der Freigeist;Lessing, Gotthold Ephraim;8715;1532;65
HAHNENSPORN;Die Hochzeitsreise;Benedix, Julius Roderich;8714;1568;88
DAMON;Das SchÃ_ferfest oder Die Herbstfreude;Neuber, Friederike Caroline;8704;1661;81
MUCKL;Der Herrgottschnitzer von Ammergau;Ganghofer, Ludwig;8701;1671;78
SENDEN;Die Journalisten;Freytag, Gustav;8700;1516;68
KATHARINE;Der Widerspenstigen ZÃ_hmung;Widmann, Joseph Viktor;8692;1699;81
HENRIETTE;Der Furchtsame;Hafner, Philipp;8691;1493;51
PATER MARESKOTTI;Klementina von Porretta;Wieland, Christoph Martin;8685;1440;17
BÃ„UERIN;Ephraims Breite;Hauptmann, Carl;8682;1711;81
AMANTE;Die neue Arria;Klinger, Friedrich Maximilian;8681;1598;39
HEROLD;Faust. Der Tragödie zweiter Teil;Goethe, Johann Wolfgang von;8673;1580;21
KILIAN;Die politische Wochenstube;Prutz, Robert Eduard;8671;1584;64
MENALKAS;Atalanta oder die bezwungene Sprödigkeit;Gottsched, Johann Christoph;8656;1620;55
SCHEIK DER TODESKARAWANE;Babel und Bibel;May, Karl;8651;1735;103
MORITZ;Die Jubelfeier der Hölle, oder Faust der jüngere;Benkowitz, Karl Friedrich;8641;1549;54
HERR VON ZIEGENDORF;Das Testament;Gottsched, Luise Adelgunde Victorie;8618;1610;76
DER MAURER BRAND;Berlin, wie es weint und lacht;Berg, O. F.;8618;1607;58
HORFMANN;Das Erbtheil des Vaters;Iffland, August Wilhelm;8614;1575;105
TILL;Kritik und Antikritik;Raupach, Ernst;8607;1550;71
VISITATOR;Die Indianer in England;Kotzebue, August von;8598;1491;47
BIRON;Anna Iwanowna;Ertler, Bruno;8598;1693;106
FAUSTS VATER;Doktor Faust;Soden, Julius von;8594;1570;120
CÃ„CILIA;Herzog Theodor von Gothland;Grabbe, Christian Dietrich;8593;1664;49
KOMMERZIENRATH;Die Gunst des Augenblicks;Devrient, Philipp Eduard;8592;1613;90
DAVID;Die Meistersinger von Nürnberg;Wagner, Richard;8580;1633;55
SALOME;Herodes und Mariamne;Hebbel, Friedrich;8574;1708;50
WITTE;Kritik und Antikritik;Raupach, Ernst;8573;1540;52
JUDITH;Uriel Acosta;Gutzkow, Karl;8570;1632;69
HERR VON WOLF;Der Rauchfangkehrer oder Die unentbehrlichen VerrÃ_ther ihrer Herrschaften aus Eigennutz;Auenbrugger, Johann Leopold von;8561;1506;94
KARL;Die Karolinger;Wildenbruch, Ernst von;8557;1706;106
THOAS;Iphigenie auf Tauris;Goethe, Johann Wolfgang von;8554;1568;46
GUTHERZ;Der Bookesbeutel;Borkenstein, Hinrich;8554;1514;59
HUTTERER;Das vierte Gebot;Anzengruber, Ludwig;8551;1618;62
HIRAM;Der Moloch;GerhÃ_user, Emil;8549;1654;62
INNOCENTIA;Faustine, der weibliche Faust;SchÃ_fer, Wilhelm;8548;1589;32
GRETCHEN;Der Wildschütz oder Die Stimme der Natur;Kotzebue, August von;8547;1660;122
ASPERMONTE;Julius von Tarent;Leisewitz, Johann Anton;8542;1554;67
AMÃ‰LIE;Ein Trauerspiel in Berlin;Holtei, Karl von;8542;1568;96
FRAU GISELIUS;Lottchens Geburtstag;Thoma, Ludwig;8536;1601;169
MÃœHLINGK;Die Ehre;Sudermann, Hermann;8533;1530;92
LYKON;Der Bettler von Syrakus;Sudermann, Hermann;8517;1590;52
KONRAD;Hanna Jagert;Hartleben, Otto Erich;8507;1573;75
VANSEN;Egmont;Goethe, Johann Wolfgang von;8505;1292;40
MEHMED;Zriny;Körner, Theodor;8494;1540;51
GIGL;Das MÃ_dl aus der Vorstadt oder Ehrlich wÃ_hrt am lÃ_ngsten;Nestroy, Johann;8493;1585;125
AGNES;Berlin, wie es weint und lacht;Berg, O. F.;8483;1622;68
LEOPOLD;Mein Leopold;L'Arronge, Adolph;8474;1520;101
JUDITH;Die Karolinger;Wildenbruch, Ernst von;8470;1655;100
GRAF ABGRUND;OkurirasÃ»na;Scheerbart, Paul;8463;1477;46
DIE JUNGE FRAU;Reigen;Schnitzler, Arthur;8460;1577;189
BREITENBACH;Franziska;Wedekind, Frank;8456;1462;52
PRINZ;Der Diamant;Hebbel, Friedrich;8453;1573;39
PFARRER;Die Fahnenweihe;Ruederer, Josef;8453;1472;109
CRITIK;Der auf den Parnass versetzte grüne Hut;Klemm, Christian Gottlob;8449;1587;92
MARIE;Der Waffenschmied;Lortzing, Albert (Gustav);8438;1663;84
GHISMONDE;König Manfred;Roeber, Friedrich;8428;1610;47
DER BARON;Die Juden;Lessing, Gotthold Ephraim;8416;1514;53
RAPUNZEL;Die armseligen Besenbinder;Hauptmann, Carl;8408;1387;54
ROLF;Herzog Theodor von Gothland;Grabbe, Christian Dietrich;8406;1539;82
GISGON;Hannibal;Grabbe, Christian Dietrich;8402;1520;57
GROSS;Der Raub der Sabinerinnen;Schönthan, Franz und Paul von;8401;1516;72
BLÃœCHER;Napoleon oder Die hundert Tage;Grabbe, Christian Dietrich;8401;1505;49
BLASIUS;Sturm und Drang;Klinger, Friedrich Maximilian;8381;1559;66
BRACKENBURG;Egmont;Goethe, Johann Wolfgang von;8364;1357;31
RÃœFFEL;Rübezahl;Scheerbart, Paul;8360;1498;87
HERZOGIN VON ANGOULEME;Napoleon oder Die hundert Tage;Grabbe, Christian Dietrich;8360;1519;56
MANASSE;Uriel Acosta;Gutzkow, Karl;8359;1578;46
FLEDER;Die Freier;Eichendorff, Joseph von;8355;1544;45
GRAF;Der neue Menoza oder Geschichte des cumbanischen Prinzen Tandi;Lenz, Jakob Michael Reinhold;8342;1544;78
BARON;Kritik und Antikritik;Raupach, Ernst;8342;1484;68
HERMINE;Heimg'funden;Anzengruber, Ludwig;8336;1505;73
JETTER;Egmont;Goethe, Johann Wolfgang von;8333;1388;69
ABUL;Der Barbier von Bagdad;Cornelius, Peter;8330;1474;70
BELMONT;Julie;Sturz, Helfrich Peter;8324;1595;39
HECHT;Ãœberteufel;Essig, Hermann;8322;1501;131
COLOMBINA;MÃ_gera, die förchterliche Hexe oder Das bezauberte SchloÃŸ des Herrn von Einhorn;Hafner, Philipp;8321;1522;48
VIRGINIA;Virginia oder das abgeschaffte Decemvirat;Ayrenhoff, Cornelius Hermann von;8318;1552;56
OCTAVIO;Wallensteins Tod;Schiller, Friedrich;8315;1529;78
BÃ–TTICHER;Der gestiefelte Kater;Tieck, Ludwig;8312;1434;26
MARGARETHE;König Ottokars Glück und Ende;Grillparzer, Franz;8310;1547;28
MANRIQUE;Die Jüdin von Toledo;Grillparzer, Franz;8303;1564;44
PUF;Der Schauspieldirektor;Stephanie, Johann Gottlieb (der Jüngere);8302;1550;70
STEINKIRCH;Das Stiftungsfest;Moser, Gustav von;8300;1552;119
KÃ–NIG;Herzog Theodor von Gothland;Grabbe, Christian Dietrich;8297;1527;86
LORENZO;Der Abenteurer und die SÃ_ngerin oder Die Geschenke des Lebens;Hofmannsthal, Hugo von;8288;1595;66
LEHMANN;Im Suff;Alberti, Konrad;8271;1437;72
CORYDON;Die SchÃ_ferinsel;Mylius, Christlob;8262;1588;96
CARL;Golo und Genovefa;Müller, Friedrich (Maler Müller);8262;1432;60
ZUFRIEDENHEIT;Das MÃ_dchen aus der Feenwelt oder Der Bauer als MillionÃ_r;Raimund, Ferdinand;8260;1529;76
CLEON;Prinz Zerbino oder die Reise nach dem guten Geschmack;Tieck, Ludwig;8260;1557;31
NARR;Die gefesselte Phantasie;Raimund, Ferdinand;8256;1476;73
ALCESTE;Alceste;Wieland, Christoph Martin;8247;1544;34
MARIANNE;Der Raub der Sabinerinnen;Schönthan, Franz und Paul von;8239;1515;111
THIBAUT;Die Jungfrau von Orleans;Schiller, Friedrich;8232;1517;27
Ã„NNCHEN;Der Freischütz;Kind, Johann Friedrich;8227;1491;42
WESENER;Die Soldaten;Lenz, Jakob Michael Reinhold;8220;1575;55
WEIRING;Liebelei;Schnitzler, Arthur;8220;1597;66
LEONARD;Die Freier;Eichendorff, Joseph von;8214;1608;65
KARL;Maria Magdalene;Hebbel, Friedrich;8192;1521;44
HANS VON MAIKERF;MaikÃ_fer-Komödie;Widmann, Joseph Viktor;8189;1491;71
BRUNHILDE;König Yngurd;Müllner, Adolph;8189;1582;32
BORIS;Demetrius;Hebbel, Friedrich;8187;1533;32
LOGE;Das Rheingold;Wagner, Richard;8183;1619;60
MARTIN;Das vierte Gebot;Anzengruber, Ludwig;8181;1613;66
DER GRAF;MenschenhaÃŸ und Reue;Kotzebue, August von;8181;1481;67
SCHAUSPIELERIN;Reigen;Schnitzler, Arthur;8176;1566;172
ROSA;StaatsrÃ_son;Mühsam, Erich;8174;1393;48
DER DICHTER;Der Diamant;Hebbel, Friedrich;8171;1500;29
KLAGENFURTER;Judas. Ein Arbeiterdrama;Mühsam, Erich;8165;1510;113
BARBARA;Vatersorgen;Birch-Pfeiffer, Charlotte;8158;1481;30
SÃ–LLER;Die Mitschuldigen;Goethe, Johann Wolfgang von;8153;1592;97
MAX;Der Freischütz;Kind, Johann Friedrich;8148;1511;100
WOLF;Der Verschwender;Raimund, Ferdinand;8137;1481;67
FRAU XANDL;Heimg'funden;Anzengruber, Ludwig;8132;1522;67
EDUARD;Hasemann's Töchter;L'Arronge, Adolph;8128;1514;80
CHORFÃœHRER;Der romantische Ã–dipus;Platen, August von;8124;1374;2
ELSA;Lohengrin;Wagner, Richard;8115;1620;62
LÃ–WENSTEIN;Professor Bernhardi;Schnitzler, Arthur;8111;1364;101
KÃ–NIG;Prinz Zerbino oder die Reise nach dem guten Geschmack;Tieck, Ludwig;8106;1471;40
WOLDEMAR;Julie;Sturz, Helfrich Peter;8104;1526;36
DER WIRT;Die Mitschuldigen;Goethe, Johann Wolfgang von;8104;1622;99
OPIMIUS;Gracchus der Volkstribun;Wilbrandt, Adolf von;8101;1473;59
HAUDY;Die Soldaten;Lenz, Jakob Michael Reinhold;8101;1473;43
HERZOGIN;Die neue Arria;Klinger, Friedrich Maximilian;8094;1509;31
EMIL;Meister Oelze;Schlaf, Johannes;8088;1530;102
OLIMPIA;Erwin und Elmire;Goethe, Johann Wolfgang von;8087;1472;19
HAGEN;GötterdÃ_mmerung;Wagner, Richard;8080;1573;93
FLINT;Das Manuscript;WeiÃŸenthurn, Johanna von;8078;1518;206
MOROSINI;Hidalla oder Sein und Haben;Wedekind, Frank;8077;1267;24
BALTHASAR;Genoveva;Hebbel, Friedrich;8077;1581;93
FRIEDRIKE;Die JÃ_ger;Iffland, August Wilhelm;8074;1615;123
LADY SUFFOLK;Lady Johanna Gray oder Der Triumf der Religion;Wieland, Christoph Martin;8062;1505;25
VIZEKÃ–NIG;Andreas Hofer, der Sandwirt von Passeyer;Immermann, Karl;8061;1511;44
EINE FRAU;Die Gewaltlosen;Rubiner, Ludwig;8053;1499;69
LINDEKUH;Musik;Wedekind, Frank;8048;1407;46
JUNGWITZ;Die stumme Schönheit;Schlegel, Johann Elias;8048;1569;94
THEKLA;Wallensteins Tod;Schiller, Friedrich;8037;1516;90
LONGINUS;Der Meister von Palmyra;Wilbrandt, Adolf von;8037;1551;97
ROBERT;Der Erbförster;Ludwig, Otto;8025;1572;79
GIANETTINO;Die Verschwörung des Fiesco zu Genua;Schiller, Friedrich;8012;1381;88
MAGO;Der Bettler von Syrakus;Sudermann, Hermann;8008;1467;59
GRÃ„FIN AMALDI;Der deutsche Hausvater oder die Familie;Gemmingen-Hornberg, Otto Heinrich von;7997;1431;53
CLARA;Mein Leopold;L'Arronge, Adolph;7993;1461;143
SOPHIE;Franziska;Wedekind, Frank;7990;1388;59
FRAU GABOR;Frühlings Erwachen;Wedekind, Frank;7989;1377;20
BRASKE;Johann, Herzog von Finnland;WeiÃŸenthurn, Johanna von;7987;1430;53
OSMIN;Belmont und Constanze oder Die Entführung aus dem Serail;Bretzner, Christoph Friedrich;7986;1556;86
SIDNEY;Ein Faust der That;Bleibtreu, Karl;7979;1327;70
CHASSECOEUR;Napoleon oder Die hundert Tage;Grabbe, Christian Dietrich;7978;1439;79
KILIAN;Der Diamant;Hebbel, Friedrich;7967;1458;57
MARIE;Datterich;Niebergall, Ernst Elias;7964;1502;82
GRAVES;Ein Faust der That;Bleibtreu, Karl;7954;1409;68
GONTRAN;Das goldene Kreuz;Mosenthal, Salomon Hermann von;7947;1424;73
TRINA;Die im Schatten leben;Rosenow, Emil;7946;1503;83
FRAU VON WICHMANN;Julie;Sturz, Helfrich Peter;7945;1446;45
ANNA;Der Unbestechliche;Hofmannsthal, Hugo von;7944;1513;77
SCHLÃœTER;Der Diamant;Hebbel, Friedrich;7940;1468;41
KONRAD;Hans Heiling;Devrient, Philipp Eduard;7938;1522;90
SOREL;Die Jungfrau von Orleans;Schiller, Friedrich;7936;1500;35
CAROLINE;Sturm und Drang;Klinger, Friedrich Maximilian;7922;1476;104
TITUS;Herodes und Mariamne;Hebbel, Friedrich;7921;1537;64
WIRTH;Doktor Faust's Mantel;BÃ_uerle, Adolf;7916;1440;41
KAPITÃ„N;Sturm und Drang;Klinger, Friedrich Maximilian;7912;1474;91
PRINZ;Der Triumph der Empfindsamkeit;Goethe, Johann Wolfgang von;7903;1404;41
WELTING;Industrie und Herz;Bauernfeld, Eduard von;7895;1375;84
HERZOG JULIUS;Ein Bruderzwist in Habsburg;Grillparzer, Franz;7890;1493;67
HANS;Ritter Blaubart;Tieck, Ludwig;7886;1480;60
ROBERT;Faust;Braun von Braunthal, Karl Johann;7876;1477;29
WOLOWSKY;Johann, Herzog von Finnland;WeiÃŸenthurn, Johanna von;7854;1482;76
STOLZENTHALER;Das vierte Gebot;Anzengruber, Ludwig;7851;1516;58
PARTHENIA;Alceste;Wieland, Christoph Martin;7846;1445;51
DER MARKGRAF;Klementina von Porretta;Wieland, Christoph Martin;7841;1350;20
KAISER;Das Loch oder Das Wiedergefundene Paradies;Arnim, Ludwig Achim von;7836;1458;60
SPITZ;GroÃŸjÃ_hrig;Bauernfeld, Eduard von;7825;1417;99
