;N=;Number of characters;Max Degree;Average Degree;Density;Average Path Length
Andere;216;22,48;17,56;8,88;0,59;1,48
Tragšdie;101;25,74;19,41;9,57;0,52;1,56
Komšdie;92;16,67;13,48;8,61;0,67;1,36
Libretti;56;16,18;13,93;9,09;0,64;1,39
Gesamt;465;21,30;16,73;9,01;0,59;1,46
